SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
HIMACHAL PRADESH,1901,137.8,174.5,75.0,19.2,89.6,32.7,280.5,459.7,53.0,3.9,0.0,19.1,1345.1,312.3,183.8,825.9,23.0
HIMACHAL PRADESH,1902,6.5,27.0,104.4,76.2,61.3,78.8,258.6,199.3,113.4,23.6,2.5,0.0,951.6,33.6,241.9,650.0,26.1
HIMACHAL PRADESH,1903,76.5,21.4,213.7,25.4,54.7,32.2,157.7,256.5,107.9,5.8,0.2,41.4,993.3,97.9,293.7,554.2,47.4
HIMACHAL PRADESH,1904,79.3,22.4,131.7,48.0,90.3,33.1,241.1,184.3,56.4,51.6,17.3,32.0,987.6,101.7,270.0,515.0,100.9
HIMACHAL PRADESH,1905,81.3,76.8,160.2,39.3,50.4,43.6,191.1,132.8,119.1,0.3,0.9,34.4,930.2,158.1,249.8,486.6,35.6
HIMACHAL PRADESH,1906,44.1,143.9,89.5,5.3,29.9,152.6,168.7,433.7,230.9,2.9,0.0,15.9,1317.5,188.0,124.7,986.0,18.8
HIMACHAL PRADESH,1907,124.2,145.1,144.9,73.0,34.2,23.7,95.7,200.6,18.9,14.9,0.0,0.0,875.4,269.4,252.1,338.9,14.9
HIMACHAL PRADESH,1908,38.4,76.1,12.3,181.7,43.6,46.8,225.6,287.4,43.0,2.8,7.3,22.5,987.6,114.5,237.6,602.9,32.6
HIMACHAL PRADESH,1909,111.0,82.1,25.4,31.7,19.0,107.6,292.4,234.5,105.9,17.6,0.0,49.9,1077.0,193.0,76.1,740.4,67.5
HIMACHAL PRADESH,1910,49.9,48.9,42.7,48.9,46.8,133.5,408.3,355.4,174.2,37.0,5.5,55.8,1406.9,98.8,138.4,1071.4,98.3
HIMACHAL PRADESH,1911,246.3,21.9,277.3,35.1,8.8,121.0,103.2,240.9,174.4,24.0,75.2,5.8,1333.8,268.1,321.3,639.5,104.9
HIMACHAL PRADESH,1912,95.6,34.7,55.7,60.1,54.3,36.9,357.6,346.8,126.6,1.0,26.9,11.4,1207.6,130.3,170.1,867.9,39.3
HIMACHAL PRADESH,1913,21.3,126.6,72.4,35.5,114.6,168.0,215.4,239.0,40.3,14.1,20.3,51.8,1119.3,147.9,222.5,662.7,86.2
HIMACHAL PRADESH,1914,15.9,88.8,105.5,110.8,76.1,135.1,495.4,292.7,269.6,71.6,22.5,51.9,1735.9,104.7,292.4,1192.8,146.1
HIMACHAL PRADESH,1915,62.2,100.4,90.0,66.6,19.4,67.5,249.0,380.6,157.7,23.4,0.0,20.0,1236.8,162.6,176.0,854.8,43.4
HIMACHAL PRADESH,1916,10.4,75.3,33.7,41.8,35.3,238.9,275.8,254.9,118.9,86.9,0.0,0.2,1172.1,85.7,110.8,888.5,87.1
HIMACHAL PRADESH,1917,20.4,30.0,61.8,162.9,79.8,135.1,376.3,309.8,330.3,174.4,0.0,22.7,1703.6,50.5,304.5,1151.5,197.1
HIMACHAL PRADESH,1918,21.2,22.3,171.2,103.4,14.3,135.6,200.6,208.9,21.5,7.9,51.0,26.9,984.7,43.4,288.9,566.6,85.8
HIMACHAL PRADESH,1919,141.3,47.4,75.6,60.4,43.5,80.1,417.3,227.8,66.5,0.7,9.8,42.9,1213.1,188.6,179.4,791.7,53.3
HIMACHAL PRADESH,1920,53.0,58.1,126.1,32.8,109.4,55.6,385.1,168.0,76.0,3.3,0.0,17.4,1084.8,111.1,268.3,684.7,20.7
HIMACHAL PRADESH,1921,87.8,20.9,9.1,29.6,32.0,42.6,264.1,465.6,195.7,57.9,0.0,106.1,1311.2,108.7,70.6,968.0,164.0
HIMACHAL PRADESH,1922,106.6,57.5,68.2,87.7,13.0,106.8,425.8,508.1,274.0,14.2,6.5,50.2,1718.6,164.1,169.0,1314.7,70.9
HIMACHAL PRADESH,1923,113.4,151.2,51.0,27.2,93.0,64.3,320.1,512.1,125.5,60.1,17.5,85.6,1620.9,264.6,171.1,1021.9,163.2
HIMACHAL PRADESH,1924,50.2,135.1,63.0,26.6,86.7,26.6,419.3,345.5,418.6,12.4,14.9,61.7,1660.7,185.3,176.3,1210.0,89.0
HIMACHAL PRADESH,1925,86.2,61.7,33.5,65.4,86.6,167.5,450.2,388.1,48.5,33.2,88.5,0.0,1509.3,147.8,185.5,1054.3,121.6
HIMACHAL PRADESH,1926,52.9,48.6,179.7,86.3,114.4,23.9,349.6,422.9,127.9,4.2,25.1,14.3,1450.0,101.5,380.5,924.3,43.7
HIMACHAL PRADESH,1927,17.5,132.5,48.2,51.4,79.1,37.9,384.7,542.4,78.0,37.9,5.8,19.3,1435.0,150.0,178.8,1043.1,63.1
HIMACHAL PRADESH,1928,129.0,112.9,48.1,94.6,14.5,82.9,276.5,329.2,67.3,2.0,59.9,91.9,1308.9,241.9,157.2,756.0,153.8
HIMACHAL PRADESH,1929,109.0,52.3,17.6,48.0,24.9,101.7,363.9,423.7,50.3,57.3,0.0,176.0,1424.7,161.2,90.5,939.6,233.3
HIMACHAL PRADESH,1930,98.8,64.1,52.7,87.7,28.2,120.8,424.5,307.0,77.7,13.0,5.2,25.7,1305.5,163.0,168.6,930.0,43.9
HIMACHAL PRADESH,1931,58.5,149.6,79.9,14.6,84.5,25.0,263.6,339.6,202.5,47.8,0.2,0.6,1266.3,208.1,179.0,830.7,48.5
