SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
VIDARBHA,1901,36.8,39.9,30.9,26.1,7.3,129.7,295.3,368.8,123.4,35.2,0.0,0.0,1093.3,76.6,64.3,917.2,35.2
VIDARBHA,1902,1.6,0.1,0.0,6.5,4.1,38.0,270.7,204.7,150.9,29.6,16.1,26.7,748.9,1.7,10.6,664.3,72.4
VIDARBHA,1903,5.2,4.0,0.1,2.5,37.8,121.2,475.5,325.5,154.8,100.8,2.0,0.0,1229.4,9.3,40.3,1077.0,102.8
VIDARBHA,1904,4.3,2.4,12.9,0.2,14.8,148.9,158.3,151.8,196.9,61.7,0.0,0.9,753.2,6.7,27.9,655.9,62.7
VIDARBHA,1905,7.3,12.7,12.4,16.2,14.0,81.0,254.5,216.3,321.3,6.0,0.2,0.0,941.8,20.0,42.6,873.1,6.2
VIDARBHA,1906,12.9,3.3,11.9,0.2,6.1,328.1,350.4,325.8,113.3,6.9,14.3,18.1,1191.2,16.2,18.2,1117.5,39.2
VIDARBHA,1907,3.6,52.9,3.7,45.3,1.6,181.4,309.7,332.6,59.7,0.2,15.7,4.3,1010.8,56.5,50.5,883.5,20.2
VIDARBHA,1908,4.1,15.5,13.5,5.7,1.5,232.0,355.2,398.4,205.9,7.8,0.0,3.9,1243.4,19.6,20.7,1191.4,11.8
VIDARBHA,1909,1.3,10.0,4.8,31.5,17.9,157.1,405.0,176.0,160.3,7.3,0.0,90.6,1061.6,11.3,54.1,898.3,97.9
VIDARBHA,1910,0.0,0.0,0.0,0.1,10.0,289.1,297.4,278.7,300.3,57.7,60.8,0.0,1294.0,0.0,10.0,1165.5,118.5
VIDARBHA,1911,18.2,0.0,2.2,0.0,2.6,218.0,205.9,292.3,176.1,27.5,39.9,0.0,982.8,18.2,4.9,892.3,67.4
VIDARBHA,1912,0.6,49.3,0.2,6.1,7.2,54.2,364.5,391.9,117.0,6.9,15.6,0.5,1014.0,49.9,13.5,927.5,23.1
VIDARBHA,1913,0.0,24.9,4.0,1.8,17.2,199.8,378.3,244.3,137.2,17.4,0.3,27.4,1052.6,24.9,23.0,959.6,45.1
VIDARBHA,1914,0.0,13.4,12.8,39.1,15.9,239.5,341.2,245.6,266.6,6.1,5.7,13.1,1199.0,13.4,67.8,1092.9,24.9
VIDARBHA,1915,33.3,9.1,65.9,18.9,13.1,190.2,311.0,229.6,195.2,111.0,7.4,15.0,1199.6,42.3,97.9,925.9,133.4
VIDARBHA,1916,0.0,14.4,0.8,2.2,21.7,257.0,345.3,306.2,253.1,124.1,37.4,0.0,1362.3,14.4,24.7,1161.6,161.5
VIDARBHA,1917,0.9,78.5,20.6,11.5,48.9,234.9,350.1,200.3,328.5,120.9,1.7,0.0,1396.9,79.4,81.0,1113.8,122.7
VIDARBHA,1918,2.5,2.9,3.1,0.2,83.1,278.3,168.0,174.5,55.5,3.4,16.8,13.2,801.4,5.4,86.4,676.2,33.4
VIDARBHA,1919,55.8,37.0,15.9,6.3,19.9,325.6,280.3,249.8,103.6,98.0,19.3,1.1,1212.6,92.8,42.2,959.3,118.4
VIDARBHA,1920,26.7,0.3,5.2,6.2,4.8,101.8,237.8,111.7,83.3,0.5,0.0,0.0,578.5,27.0,16.3,534.6,0.5
VIDARBHA,1921,20.3,0.1,0.0,2.6,0.0,283.9,293.0,292.0,182.3,11.3,0.2,0.0,1085.6,20.3,2.6,1051.2,11.4
VIDARBHA,1922,33.8,2.3,0.0,3.8,5.1,206.1,361.7,116.5,295.3,4.7,80.3,0.3,1109.8,36.1,8.8,979.6,85.3
VIDARBHA,1923,1.0,6.7,30.6,3.4,2.3,21.4,402.9,201.1,260.1,11.0,0.1,0.7,941.3,7.7,36.3,885.5,11.8
VIDARBHA,1924,21.3,0.5,4.4,6.2,3.2,43.8,308.3,220.6,217.3,126.9,33.6,8.1,994.2,21.8,13.8,790.0,168.6
