"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Agra","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-25",2009,4,0.566046562,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-28",2009,4,0.5257137,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-29",2009,4,0.396531506,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-01",2009,8,0.027142477,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-02",2009,8,0.732356971,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-03",2009,8,0.113152555,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-06",2009,8,0.045237463,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-07",2009,8,12.31403538,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-08",2009,8,10.40887418,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-09",2009,8,1.020921616,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-10",2009,8,4.329832448,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-11",2009,8,1.600108927,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-12",2009,8,2.089209367,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-13",2009,8,0.889429969,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-14",2009,8,0.768324644,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-15",2009,8,0.698689562,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-16",2009,8,1.459393356,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-17",2009,8,0.492777252,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-18",2009,8,1.198643601,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-19",2009,8,12.18760054,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-20",2009,8,6.945188108,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-21",2009,8,0.185225226,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-22",2009,8,0.150660562,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-23",2009,8,0.002202432,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-25",2009,8,0.97956485,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-26",2009,8,4.083413029,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-29",2009,8,0.00470944,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-30",2009,8,0.093773815,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-08-31",2009,8,0.006695022,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-11",2009,12,0.444819899,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-12",2009,12,16.72331009,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-13",2009,12,0.474536518,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-14",2009,12,0.005083176,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-16",2009,12,0.37379257,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Agra","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
