"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Maharashtra","Akola","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-07",2009,4,0.163961948,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-13",2009,4,1.810026743,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-14",2009,4,0.012855871,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-21",2009,4,0.231110213,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-22",2009,4,3.757216851,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-01",2009,8,11.08480359,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-02",2009,8,21.68681092,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-03",2009,8,17.50611015,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-04",2009,8,18.00361246,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-05",2009,8,8.683165031,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-06",2009,8,21.87296379,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-07",2009,8,2.580096641,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-08",2009,8,2.476163289,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-09",2009,8,0.018093339,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-10",2009,8,26.01016899,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-11",2009,8,4.752924128,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-12",2009,8,10.87421477,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-13",2009,8,8.395126705,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-14",2009,8,4.885095932,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-15",2009,8,0.230618889,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-16",2009,8,1.107227909,"IMD GRID MODEL"
