"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"West Bengal","Alipurduar","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-24",2009,4,2.943034501,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-18",2009,4,3.53e-06,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-20",2009,4,1.675458278,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-25",2009,4,16.38709594,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-26",2009,4,3.226468351,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-27",2009,4,3.010751523,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-28",2009,4,11.99614298,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-29",2009,4,0.844505975,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-04-30",2009,4,2.561562951,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-01",2009,8,65.08662059,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-10",2009,8,0.426164995,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-11",2009,8,0.540235283,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-12",2009,8,0.588970798,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-21",2009,8,17.74749269,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-22",2009,8,5.91925074,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-23",2009,8,44.55604687,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-02",2009,8,80.3537909,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-03",2009,8,69.20678198,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-04",2009,8,29.00631986,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-05",2009,8,5.35253733,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-06",2009,8,1.496769516,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-07",2009,8,0.584716637,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-08",2009,8,1.907304811,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-09",2009,8,0.064610798,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-13",2009,8,5.931634524,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-14",2009,8,9.307357629,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-15",2009,8,0.904856664,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-16",2009,8,0.0,"IMD GRID MODEL"
"West Bengal","Alipurduar","2009-08-17",2009,8,1.236921474,"IMD GRID MODEL"
