"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Haryana","Ambala","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-16",2009,4,0.3269605,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-17",2009,4,0.817401239,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-19",2009,4,3.021087918,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-23",2009,4,2.611894089,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-24",2009,4,4.024252697,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-26",2009,4,3.900306863,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-27",2009,4,0.953478123,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-28",2009,4,0.258324676,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-29",2009,4,0.081954678,"IMD GRID MODEL"
"Haryana","Ambala","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-02",2009,8,0.075692181,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-06",2009,8,2.800053801,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-07",2009,8,0.391628934,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-08",2009,8,6.605627626,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-09",2009,8,26.72223171,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-10",2009,8,1.660847953,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-11",2009,8,14.25747443,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-12",2009,8,19.63080768,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-13",2009,8,3.296408055,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-14",2009,8,6.580219287,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-15",2009,8,2.950531858,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-16",2009,8,0.326791348,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-17",2009,8,16.07203441,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-18",2009,8,1.418070558,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-19",2009,8,5.144373658,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-20",2009,8,1.141827112,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-21",2009,8,15.22847563,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-22",2009,8,0.393656647,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-23",2009,8,4.788887313,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-24",2009,8,3.105593647,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-25",2009,8,1.044386464,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-26",2009,8,29.46703433,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-27",2009,8,53.34817873,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-28",2009,8,16.88339901,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-29",2009,8,0.617032825,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-30",2009,8,0.103096825,"IMD GRID MODEL"
"Haryana","Ambala","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Ambala","2009-12-08",2009,12,0.149377204,"IMD GRID MODEL"
