"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Amethi","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-08",2009,4,0.073910702,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-19",2009,4,0.001485831,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-24",2009,4,0.466250509,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-27",2009,4,0.141112953,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-28",2009,4,0.344293699,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-01",2009,8,1.227826377,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-03",2009,8,3.699731097,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-04",2009,8,0.165629908,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-05",2009,8,9.452595016,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-06",2009,8,4.06261978,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-07",2009,8,7.765833661,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-08",2009,8,0.075910225,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-09",2009,8,0.557352767,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-10",2009,8,11.43249578,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-11",2009,8,1.860101836,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-12",2009,8,2.844211931,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-13",2009,8,3.403997371,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-14",2009,8,1.262942999,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-15",2009,8,5.520511971,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-16",2009,8,1.834239654,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-17",2009,8,0.175961278,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-18",2009,8,2.915649374,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-19",2009,8,0.537249577,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-21",2009,8,3.092310062,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-22",2009,8,3.541435559,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-23",2009,8,0.036622484,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-25",2009,8,43.92093253,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-26",2009,8,78.56669191,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-27",2009,8,12.78912424,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-28",2009,8,1.132598799,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-29",2009,8,4.420606134,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-30",2009,8,0.08221337,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-08-31",2009,8,0.004283657,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-12",2009,12,0.850631684,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-13",2009,12,1.418449993,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-14",2009,12,0.154422323,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-16",2009,12,0.567091191,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Amethi","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
