"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Odisha","Anugul","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-09",2009,4,1.08e-05,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-19",2009,4,2.309901825,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-22",2009,4,0.014793242,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-23",2009,4,0.003952156,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-24",2009,4,0.057309406,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-29",2009,4,0.032520437,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-01",2009,8,25.3055803,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-02",2009,8,26.67893334,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-03",2009,8,7.011328854,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-04",2009,8,23.2414296,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-05",2009,8,34.31305535,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-06",2009,8,5.431716298,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-07",2009,8,8.916181982,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-08",2009,8,48.30574726,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-09",2009,8,25.372943,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-10",2009,8,30.68531133,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-11",2009,8,60.23269642,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-12",2009,8,40.05172407,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-13",2009,8,36.01353566,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-14",2009,8,53.45108955,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-15",2009,8,0.549962365,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-16",2009,8,0.488985767,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-17",2009,8,50.66779636,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-18",2009,8,24.49235604,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-19",2009,8,115.206147,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-20",2009,8,13.7685829,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-21",2009,8,7.736068234,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-22",2009,8,0.170282995,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-24",2009,8,0.000856239,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-25",2009,8,0.821767179,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-26",2009,8,0.498828057,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-27",2009,8,0.003830496,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-28",2009,8,0.264548983,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-29",2009,8,0.181236263,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-30",2009,8,0.001432027,"IMD GRID MODEL"
"Odisha","Anugul","2009-08-31",2009,8,0.087882757,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-03",2009,12,0.012220163,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-04",2009,12,0.626426702,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-06",2009,12,0.403636206,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-10",2009,12,0.01342409,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-12",2009,12,0.841041824,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-15",2009,12,1.05e-05,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-17",2009,12,24.58688716,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Odisha","Anugul","2009-12-18",2009,12,5.124666053,"IMD GRID MODEL"
