"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Ballia","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-01",2009,8,0.956330852,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-02",2009,8,4.27796286,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-03",2009,8,0.050066138,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-04",2009,8,1.34068591,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-05",2009,8,4.412270628,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-06",2009,8,4.412155615,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-07",2009,8,0.234470516,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-09",2009,8,0.160934049,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-10",2009,8,0.848078247,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-13",2009,8,0.185228694,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-14",2009,8,0.468933204,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-15",2009,8,0.000147899,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-16",2009,8,0.506213388,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-17",2009,8,1.031446526,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-18",2009,8,8.235567439,"IMD GRID MODEL"
"Uttar Pradesh","Ballia","2009-08-19",2009,8,1.801449269,"IMD GRID MODEL"
