"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Chhattisgarh","Balod","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-20",2009,4,1.134676353,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-23",2009,4,0.006780426,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-24",2009,4,0.283435957,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-01",2009,8,5.457373106,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-02",2009,8,9.55746024,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-03",2009,8,1.184751573,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-04",2009,8,29.66386798,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-05",2009,8,2.358428886,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-06",2009,8,4.28244146,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-07",2009,8,5.561575382,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-08",2009,8,1.015517533,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-09",2009,8,2.600862421,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-10",2009,8,2.88546379,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-11",2009,8,6.061680734,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-12",2009,8,143.7420979,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-13",2009,8,154.5745689,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-14",2009,8,19.44446255,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-15",2009,8,0.906681274,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-16",2009,8,3.801093286,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-17",2009,8,2.728110262,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-18",2009,8,16.71266442,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-19",2009,8,11.85999657,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-20",2009,8,60.68065271,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-21",2009,8,5.867768183,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-24",2009,8,0.299670818,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-25",2009,8,12.46098334,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-26",2009,8,17.44435396,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-27",2009,8,1.424962001,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-28",2009,8,0.222188791,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-29",2009,8,0.067620032,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Balod","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
