"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Chhattisgarh","Baloda Bazar","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-20",2009,4,0.947635772,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-24",2009,4,0.349546099,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-29",2009,4,0.000270403,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-01",2009,8,18.0193875,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-02",2009,8,23.3247572,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-03",2009,8,0.28226071,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-04",2009,8,14.51218936,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-05",2009,8,55.67555288,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-06",2009,8,18.27344256,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-07",2009,8,1.533276267,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-08",2009,8,12.4044903,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-09",2009,8,1.940829678,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-10",2009,8,11.09298972,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-11",2009,8,54.32786837,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-12",2009,8,96.80595246,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-13",2009,8,25.65303181,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-14",2009,8,28.1784625,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-15",2009,8,4.929343036,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-16",2009,8,3.033056433,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-17",2009,8,10.45173224,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-18",2009,8,30.51876229,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-19",2009,8,75.22860997,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-20",2009,8,86.95446465,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-21",2009,8,1.522161802,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-22",2009,8,0.5294685,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-24",2009,8,0.025846381,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-25",2009,8,2.736003034,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-26",2009,8,2.783618731,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-27",2009,8,3.340026852,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-28",2009,8,0.002455987,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-29",2009,8,0.06633187,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-15",2009,12,0.587976709,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-16",2009,12,2.07121203,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-17",2009,12,4.200349144,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-18",2009,12,0.029241169,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-04",2009,2,0.030943576,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-05",2009,2,0.119532716,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-06",2009,2,0.151408111,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-07",2009,2,0.199221201,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Baloda Bazar","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
