"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Gujarat","Banas Kantha","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-19",2009,4,3.444195999,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-20",2009,4,3.716167337,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-22",2009,4,0.03039455,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-01",2009,8,0.278274047,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-02",2009,8,1.130147353,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-03",2009,8,0.029626837,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-04",2009,8,0.114821529,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-05",2009,8,0.17681624,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-06",2009,8,0.037393495,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-07",2009,8,4.700879897,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-08",2009,8,38.28803319,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-09",2009,8,1.421670251,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-10",2009,8,6.264135089,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-11",2009,8,3.614080697,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-12",2009,8,1.22309047,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-13",2009,8,9.755316571,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-14",2009,8,15.99480772,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-15",2009,8,7.604393296,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-16",2009,8,31.09600752,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-17",2009,8,12.1180739,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-18",2009,8,3.282206385,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-19",2009,8,3.870973375,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-20",2009,8,2.878734914,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-21",2009,8,29.27570377,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-22",2009,8,18.94605912,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-23",2009,8,13.35516999,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-24",2009,8,34.48877037,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-25",2009,8,4.848350544,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-26",2009,8,0.154129446,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-28",2009,8,0.022985301,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-08-31",2009,8,0.013224011,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-11",2009,12,0.012764377,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-12",2009,12,0.038808829,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Banas Kantha","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
