"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Bandipora","2009-04-05",2009,4,1.538683258,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-17",2009,4,0.766621866,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-18",2009,4,2.361872579,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-19",2009,4,9.56206971,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-26",2009,4,9.257978539,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-27",2009,4,7.360793562,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-28",2009,4,2.830682401,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-02",2009,4,0.101452517,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-03",2009,4,1.102997226,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-23",2009,4,3.212570611,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-24",2009,4,4.131554855,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-03",2009,8,3.325269871,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-07",2009,8,0.480576535,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-16",2009,8,0.472381065,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-17",2009,8,0.016269961,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-25",2009,8,0.383310919,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-26",2009,8,0.06116754,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-27",2009,8,10.33509462,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-28",2009,8,0.2302701,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-29",2009,8,0.005555255,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-30",2009,8,0.004328465,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-01",2009,8,1.75474022,"IMD GRID MODEL"
"Jammu & Kashmir","Bandipora","2009-08-02",2009,8,0.233514821,"IMD GRID MODEL"
