"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"West Bengal","Bankura","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-08",2009,4,0.534604478,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-09",2009,4,0.360667345,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-10",2009,4,0.202340227,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-17",2009,4,0.002003305,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-20",2009,4,1.403277869,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-22",2009,4,1.076648022,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-24",2009,4,0.081632273,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-25",2009,4,8.209086755,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-27",2009,4,5.902707739,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-28",2009,4,17.15153535,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-29",2009,4,1.678480461,"IMD GRID MODEL"
"West Bengal","Bankura","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-01",2009,8,0.808272898,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-02",2009,8,27.85906218,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-03",2009,8,0.412678319,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-04",2009,8,2.684224873,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-05",2009,8,9.064168902,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-06",2009,8,17.79277448,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-07",2009,8,10.84105175,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-08",2009,8,24.69704839,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-09",2009,8,3.423874924,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-10",2009,8,6.684667798,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-11",2009,8,16.52656137,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-12",2009,8,2.714849689,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-13",2009,8,8.356346814,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-14",2009,8,8.580402374,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-15",2009,8,13.95934769,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-16",2009,8,1.00836664,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-17",2009,8,3.406253035,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-18",2009,8,17.16373031,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-19",2009,8,3.753458177,"IMD GRID MODEL"
"West Bengal","Bankura","2009-08-20",2009,8,4.657570938,"IMD GRID MODEL"
