"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Punjab","Barnala","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-18",2009,4,1.063854446,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-19",2009,4,1.298691324,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-23",2009,4,3.026561572,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-24",2009,4,0.636909545,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-25",2009,4,0.475287997,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-26",2009,4,3.259585163,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-27",2009,4,4.441978631,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-07",2009,8,0.397539105,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-08",2009,8,5.692426079,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-09",2009,8,17.12535286,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-10",2009,8,48.52560007,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-12",2009,8,25.34904352,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-13",2009,8,1.184963369,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-16",2009,8,0.13418182,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-11",2009,8,1.709581125,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-17",2009,8,0.243933587,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-18",2009,8,0.159015659,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-19",2009,8,18.9387121,"IMD GRID MODEL"
"Punjab","Barnala","2009-08-20",2009,8,0.213708307,"IMD GRID MODEL"
