"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Bihar","Bhagalpur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-19",2009,4,0.026311481,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-20",2009,4,0.080629715,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-24",2009,4,0.934220779,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-25",2009,4,3.127567327,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-29",2009,4,0.361395068,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-01",2009,8,12.49067042,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-02",2009,8,1.534275196,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-03",2009,8,10.38276966,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-04",2009,8,13.76890273,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-05",2009,8,5.091683743,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-06",2009,8,7.640315811,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-07",2009,8,13.07745912,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-08",2009,8,0.05764832,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-09",2009,8,2.48432084,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-10",2009,8,2.090161074,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-11",2009,8,1.208364921,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-12",2009,8,0.001456852,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-13",2009,8,0.527338356,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-14",2009,8,0.088354695,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-15",2009,8,0.181241207,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-16",2009,8,3.356198034,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-18",2009,8,10.63135883,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-19",2009,8,4.98930199,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-20",2009,8,10.11820191,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-21",2009,8,4.053234207,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-22",2009,8,2.178836424,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-23",2009,8,4.442290938,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-24",2009,8,14.41054988,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-25",2009,8,75.64541553,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-26",2009,8,19.47993238,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-27",2009,8,7.050834093,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-28",2009,8,31.54161586,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-29",2009,8,16.55474109,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-30",2009,8,5.235042061,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-08-31",2009,8,29.40232604,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-16",2009,12,0.073933232,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-17",2009,12,0.547698423,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-06",2009,2,0.24541151,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-06",2009,1,0.24541151,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-07-01",2009,7,0.045170613,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-07-02",2009,7,1.893654208,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
"Bihar","Bhagalpur","2009-07-04",2009,7,0.0,"IMD GRID MODEL"
