"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Rajasthan","Bharatpur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-25",2009,4,0.17636717,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-27",2009,4,0.16701867,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-28",2009,4,0.824522938,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-29",2009,4,0.031595884,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-02",2009,8,4.403385919,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-07",2009,8,0.78279727,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-08",2009,8,8.797773565,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-09",2009,8,2.740950353,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-10",2009,8,2.884469839,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-11",2009,8,2.567984913,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-12",2009,8,14.20200661,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-13",2009,8,0.000625923,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-14",2009,8,5.079806057,"IMD GRID MODEL"
"Rajasthan","Bharatpur","2009-08-15",2009,8,1.012615473,"IMD GRID MODEL"
