"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Gujarat","Bharuch","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-01",2009,8,15.36513468,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-02",2009,8,14.28545205,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-03",2009,8,3.659068664,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-04",2009,8,3.808592487,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-05",2009,8,17.32729884,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-06",2009,8,26.66955157,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-07",2009,8,6.335405943,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-08",2009,8,47.31885575,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-09",2009,8,4.4925365,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-10",2009,8,8.833132682,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-11",2009,8,4.938827766,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-12",2009,8,6.392144814,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-13",2009,8,6.860921241,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-14",2009,8,16.23367381,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-15",2009,8,17.83040327,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-16",2009,8,7.631794276,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-17",2009,8,12.82300306,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-18",2009,8,7.641747448,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-19",2009,8,22.41412849,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-20",2009,8,48.17692965,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-21",2009,8,20.83801395,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-22",2009,8,13.20400148,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-23",2009,8,10.88434637,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-24",2009,8,16.1655994,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-25",2009,8,5.766221439,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-26",2009,8,5.017422226,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-27",2009,8,0.060187841,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-08-31",2009,8,0.005133325,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-10",2009,12,0.31328944,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-11",2009,12,5.669686679,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-13",2009,12,0.00205333,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-15",2009,12,0.214709757,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Bharuch","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
