"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Madhya Pradesh","Bhind","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-14",2009,4,0.1267782,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-24",2009,4,0.001219466,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-25",2009,4,0.0225696,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-27",2009,4,0.119155222,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-28",2009,4,0.0225696,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-29",2009,4,0.0225696,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-01",2009,8,0.164685865,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-02",2009,8,0.706705355,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-03",2009,8,0.523489759,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-06",2009,8,0.04186581,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-07",2009,8,35.9129969,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-08",2009,8,12.19985987,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-09",2009,8,1.935914436,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-10",2009,8,2.719890141,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-11",2009,8,2.913662595,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-12",2009,8,8.812428673,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-13",2009,8,7.388990922,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-14",2009,8,4.014790841,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-15",2009,8,0.864508306,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-16",2009,8,2.982268986,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-17",2009,8,0.006781748,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-18",2009,8,0.365367448,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-19",2009,8,19.4104317,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-20",2009,8,6.955317182,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-21",2009,8,0.614268414,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-23",2009,8,0.002077725,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-24",2009,8,0.039310666,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-25",2009,8,0.154502704,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-26",2009,8,1.347405816,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-30",2009,8,0.397183546,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-08-31",2009,8,0.127802359,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-11",2009,12,0.155350668,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-12",2009,12,4.037215763,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-13",2009,12,1.901368587,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-15",2009,12,2.071989318,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-17",2009,12,0.013400166,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-07",2009,2,0.001219466,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-08",2009,2,0.00325191,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-14",2009,2,0.005683631,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-07",2009,1,0.001219466,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-08",2009,1,0.00325191,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-14",2009,1,0.005683631,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-07-01",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-07-02",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Bhind","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
