"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Haryana","Bhiwani","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-18",2009,4,0.98237306,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-19",2009,4,0.17311895,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-23",2009,4,0.753459527,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-25",2009,4,0.543571862,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-26",2009,4,1.438860544,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-27",2009,4,2.777331956,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-28",2009,4,0.013972155,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-01",2009,8,5.977424734,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-07",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-08",2009,8,4.197166285,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-09",2009,8,6.715624677,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-10",2009,8,4.150755195,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-11",2009,8,7.580884805,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-12",2009,8,10.81895895,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-13",2009,8,4.854518441,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-14",2009,8,0.117513418,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-16",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-18",2009,8,0.055846295,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-19",2009,8,4.411953818,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-20",2009,8,2.817462967,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-22",2009,8,2.750749383,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-23",2009,8,2.933233008,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-25",2009,8,1.669252625,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-26",2009,8,1.058468378,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-27",2009,8,0.522162784,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-28",2009,8,0.404560475,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-29",2009,8,0.038603098,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-30",2009,8,0.065778034,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-12",2009,12,2.229893435,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-16",2009,12,0.138262868,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-03",2009,2,0.325716298,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-14",2009,2,0.111513727,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-15",2009,2,2.81463207,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-16",2009,2,2.193233718,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-17",2009,2,0.668465844,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Haryana","Bhiwani","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
