"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Biswanath","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-03",2009,4,0.019290635,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-04",2009,4,0.692040008,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-05",2009,4,0.2938994,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-06",2009,4,0.286664261,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-19",2009,4,0.003238957,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-20",2009,4,0.493034802,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-21",2009,4,0.008011518,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-23",2009,4,0.013073989,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-25",2009,4,2.27432311,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-26",2009,4,6.023100633,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-27",2009,4,0.703589383,"IMD GRID MODEL"
"Assam","Biswanath","2009-04-28",2009,4,4.050419247,"IMD GRID MODEL"
