"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Budgam","2009-04-02",2009,4,0.106251604,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-03",2009,4,3.631363065,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-05",2009,4,0.965691114,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-17",2009,4,0.445091276,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-18",2009,4,2.852653456,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-19",2009,4,11.19351887,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-23",2009,4,5.499452777,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-24",2009,4,4.491468451,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-27",2009,4,10.92773581,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-28",2009,4,5.471923411,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-29",2009,4,0.187930141,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-04-26",2009,4,7.125871596,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-08-01",2009,8,2.859670785,"IMD GRID MODEL"
"Jammu & Kashmir","Budgam","2009-08-02",2009,8,0.191697826,"IMD GRID MODEL"
