"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Rajasthan","Bundi","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-19",2009,4,1.582983222,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-21",2009,4,0.30814762,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-23",2009,4,0.019759141,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-01",2009,8,28.28013701,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-07",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-08",2009,8,2.237994581,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-09",2009,8,2.380093975,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-10",2009,8,1.28e-05,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-11",2009,8,0.344790075,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-12",2009,8,41.34369996,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-13",2009,8,3.276150288,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-14",2009,8,8.833308221,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-15",2009,8,32.95399646,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-16",2009,8,28.80823379,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-17",2009,8,0.030456519,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-18",2009,8,2.051851929,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-19",2009,8,12.44609547,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-20",2009,8,40.66812342,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-21",2009,8,7.026219958,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-22",2009,8,4.874372167,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-23",2009,8,1.308485405,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-24",2009,8,0.207074189,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-25",2009,8,0.168784841,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Bundi","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
