"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Madhya Pradesh","Burhanpur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-07",2009,4,0.182801818,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-13",2009,4,2.601659674,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-21",2009,4,0.14980399,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-22",2009,4,0.259929845,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-01",2009,8,5.831911318,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-02",2009,8,3.194349827,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-03",2009,8,7.521719921,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-04",2009,8,6.245149238,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-05",2009,8,0.712623341,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-06",2009,8,10.75188805,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-07",2009,8,10.83228689,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-08",2009,8,5.740998648,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-09",2009,8,4.854040392,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-10",2009,8,10.16478327,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-11",2009,8,12.63048836,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-12",2009,8,9.183906132,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-13",2009,8,3.721906217,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-14",2009,8,4.799150456,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-15",2009,8,0.560794977,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-16",2009,8,3.005786397,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-17",2009,8,6.10737594,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-18",2009,8,17.32617113,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-19",2009,8,50.06654779,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-20",2009,8,53.64176658,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-21",2009,8,49.65109318,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-22",2009,8,2.805876893,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-23",2009,8,0.807248496,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-24",2009,8,1.017388759,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-25",2009,8,5.028170501,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-26",2009,8,2.412377327,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-27",2009,8,0.805551593,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-29",2009,8,0.03766044,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-08-31",2009,8,0.03766044,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-08",2009,12,0.00221864,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-09",2009,12,8.385429182,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-10",2009,12,21.11694277,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-11",2009,12,57.41056357,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-12",2009,12,0.533006816,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-13",2009,12,7.218216102,"IMD GRID MODEL"
"Madhya Pradesh","Burhanpur","2009-12-14",2009,12,10.39436549,"IMD GRID MODEL"
