"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Delhi","Central","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-24",2009,4,0.014708123,"IMD GRID MODEL"
"Delhi","Central","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-26",2009,4,0.025978365,"IMD GRID MODEL"
"Delhi","Central","2009-04-27",2009,4,0.86453881,"IMD GRID MODEL"
"Delhi","Central","2009-04-28",2009,4,0.182236332,"IMD GRID MODEL"
"Delhi","Central","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-07",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-08",2009,8,3.429284426,"IMD GRID MODEL"
"Delhi","Central","2009-08-09",2009,8,0.389089342,"IMD GRID MODEL"
"Delhi","Central","2009-08-10",2009,8,0.764626667,"IMD GRID MODEL"
"Delhi","Central","2009-08-11",2009,8,0.982498401,"IMD GRID MODEL"
"Delhi","Central","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-13",2009,8,4.688547812,"IMD GRID MODEL"
"Delhi","Central","2009-08-14",2009,8,0.750271451,"IMD GRID MODEL"
"Delhi","Central","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-16",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-18",2009,8,0.784267444,"IMD GRID MODEL"
"Delhi","Central","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-20",2009,8,1.010719605,"IMD GRID MODEL"
"Delhi","Central","2009-08-21",2009,8,0.540289713,"IMD GRID MODEL"
"Delhi","Central","2009-08-22",2009,8,3.649988832,"IMD GRID MODEL"
"Delhi","Central","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-08-25",2009,8,4.627249752,"IMD GRID MODEL"
"Delhi","Central","2009-08-26",2009,8,30.21964055,"IMD GRID MODEL"
"Delhi","Central","2009-08-27",2009,8,0.768204,"IMD GRID MODEL"
"Delhi","Central","2009-08-28",2009,8,4.652083605,"IMD GRID MODEL"
"Delhi","Central","2009-08-29",2009,8,0.398900846,"IMD GRID MODEL"
"Delhi","Central","2009-08-30",2009,8,1.318312857,"IMD GRID MODEL"
"Delhi","Central","2009-08-31",2009,8,1.231968986,"IMD GRID MODEL"
"Delhi","Central","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-12",2009,12,0.353586783,"IMD GRID MODEL"
"Delhi","Central","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-16",2009,12,1.164307578,"IMD GRID MODEL"
"Delhi","Central","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-16",2009,2,0.696611677,"IMD GRID MODEL"
"Delhi","Central","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Delhi","Central","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
