"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Himachal Pradesh","Chamba","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-03",2009,4,0.655900223,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-04",2009,4,0.898716387,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-05",2009,4,0.078203655,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-09",2009,4,0.293397539,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-10",2009,4,0.573780141,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-11",2009,4,0.286890071,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-14",2009,4,0.863177228,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-16",2009,4,0.031795808,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-18",2009,4,0.779782579,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-19",2009,4,9.794667114,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-20",2009,4,2.73900543,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-21",2009,4,4.310404728,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-22",2009,4,0.533069705,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-23",2009,4,14.29402656,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-24",2009,4,4.131419668,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-25",2009,4,0.013115957,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-26",2009,4,7.78537245,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-27",2009,4,0.157758096,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-28",2009,4,7.126094535,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-29",2009,4,0.001767873,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-01",2009,8,3.780809207,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-02",2009,8,7.227493647,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-03",2009,8,0.003623606,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-06",2009,8,0.050143965,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-07",2009,8,0.853207124,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-08",2009,8,3.270000486,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-09",2009,8,0.723844037,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-10",2009,8,4.70379724,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-11",2009,8,50.47713627,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-12",2009,8,12.13283136,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-13",2009,8,2.097673886,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-14",2009,8,4.102487244,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-16",2009,8,45.55685947,"IMD GRID MODEL"
"Himachal Pradesh","Chamba","2009-08-17",2009,8,0.749745761,"IMD GRID MODEL"
