"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Arunachal Pradesh","Changlang","2009-04-02",2009,4,0.087249989,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-03",2009,4,0.785420857,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-04",2009,4,2.869828022,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-05",2009,4,1.336773298,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-06",2009,4,0.396104769,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-07",2009,4,0.240701391,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-10",2009,4,0.758572062,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-17",2009,4,0.98804719,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-18",2009,4,2.152531336,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-19",2009,4,0.014029428,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-20",2009,4,0.171929571,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-23",2009,4,0.014105488,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-25",2009,4,1.438287279,"IMD GRID MODEL"
"Arunachal Pradesh","Changlang","2009-04-26",2009,4,0.039718411,"IMD GRID MODEL"
