"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Chengalpattu","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-07",2009,4,0.041622366,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-08",2009,4,1.902886813,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-09",2009,4,14.39020381,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-01",2009,8,0.779650583,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-02",2009,8,0.148634487,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-03",2009,8,0.819687734,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-07",2009,8,0.694297847,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-08",2009,8,0.047713309,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-11",2009,8,0.056583972,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-14",2009,8,0.106818882,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-16",2009,8,0.030509654,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-18",2009,8,0.707780974,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-24",2009,8,0.219118581,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-25",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-26",2009,8,2.299449274,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-27",2009,8,1.987055335,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-28",2009,8,1.598543866,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-29",2009,8,35.64052659,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-30",2009,8,8.399560555,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-08-31",2009,8,2.955554127,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-12-01",2009,12,15.40293846,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-12-02",2009,12,5.288631748,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-12-03",2009,12,11.9735272,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-12-04",2009,12,40.84115883,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-12-05",2009,12,29.50609969,"IMD GRID MODEL"
"Tamil Nadu","Chengalpattu","2009-12-06",2009,12,65.88298109,"IMD GRID MODEL"
