"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Karnataka","Chitradurga","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-10",2009,4,9.12885862,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-11",2009,4,5.582308917,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-12",2009,4,0.166217723,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-13",2009,4,2.719197061,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-14",2009,4,1.701839244,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-15",2009,4,0.431103129,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-19",2009,4,0.259817169,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-22",2009,4,1.194136095,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-23",2009,4,1.485349904,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-24",2009,4,0.197005775,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-25",2009,4,0.03352259,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-08-01",2009,8,2.666295274,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-08-02",2009,8,2.064915839,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-08-03",2009,8,3.125661688,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-08-04",2009,8,2.920807267,"IMD GRID MODEL"
"Karnataka","Chitradurga","2009-08-05",2009,8,1.868019667,"IMD GRID MODEL"
