"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andhra Pradesh","Chittoor","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-08",2009,4,0.283029197,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-09",2009,4,0.245840627,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-10",2009,4,0.000233899,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-11",2009,4,0.126317437,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-14",2009,4,1.784502969,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-18",2009,4,0.470181582,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-21",2009,4,0.001410874,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-22",2009,4,1.358501095,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-23",2009,4,1.178362616,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-24",2009,4,0.110422133,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-26",2009,4,0.084211629,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-29",2009,4,1.137010329,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-04-30",2009,4,0.75088696,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-01",2009,8,1.678904208,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-02",2009,8,0.002456374,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-03",2009,8,3.134989692,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-04",2009,8,0.131828322,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-05",2009,8,0.011680458,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-07",2009,8,0.041866296,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-08",2009,8,2.366352233,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-11",2009,8,0.007804917,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-12",2009,8,0.260257108,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-13",2009,8,0.010435339,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-14",2009,8,0.69215943,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-15",2009,8,0.535202051,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-16",2009,8,0.004332235,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-17",2009,8,0.048869397,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-18",2009,8,0.989452749,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-19",2009,8,0.0923493,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-20",2009,8,0.013567031,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-23",2009,8,0.008997719,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-24",2009,8,0.179925107,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-25",2009,8,0.131848663,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-26",2009,8,1.583989328,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-27",2009,8,3.620546862,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-28",2009,8,3.932321134,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-29",2009,8,9.322583894,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-30",2009,8,5.194949427,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-08-31",2009,8,0.158176385,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-02",2009,12,5.461266934,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-03",2009,12,10.32016715,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-04",2009,12,18.33623801,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-05",2009,12,14.80192737,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-06",2009,12,36.2501506,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-07",2009,12,23.83066975,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-08",2009,12,45.4580257,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-09",2009,12,9.908341604,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-10",2009,12,8.034665016,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-11",2009,12,0.684374237,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-12",2009,12,0.091599667,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-13",2009,12,0.513335205,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-14",2009,12,26.21099745,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-15",2009,12,4.573463299,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-16",2009,12,1.284707245,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-17",2009,12,7.364750633,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-18",2009,12,2.901938211,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-19",2009,12,2.057883525,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-20",2009,12,0.544092941,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-21",2009,12,5.281868751,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-22",2009,12,0.143294969,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-23",2009,12,0.087666763,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-24",2009,12,2.483541903,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-25",2009,12,0.483500638,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-26",2009,12,1.22952216,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-27",2009,12,0.093256881,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-28",2009,12,0.130559639,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-29",2009,12,0.126051877,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-30",2009,12,0.017966744,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-12-31",2009,12,0.353105909,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-06",2009,2,0.798097509,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2009-02-09",2009,2,0.066832783,"IMD GRID MODEL"
