"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Rajasthan","Chittorgarh","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-19",2009,4,0.047090577,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-20",2009,4,0.000361202,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-21",2009,4,0.03966023,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-23",2009,4,0.064843201,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-01",2009,8,64.79193454,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-02",2009,8,0.615938026,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-04",2009,8,0.041588986,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-06",2009,8,0.024996838,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-07",2009,8,0.909118529,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-08",2009,8,27.45833037,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-09",2009,8,16.08854989,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-10",2009,8,0.811627477,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-12",2009,8,22.23306607,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-13",2009,8,16.02277468,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-14",2009,8,4.096325974,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-15",2009,8,30.85904195,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-17",2009,8,1.824027549,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-18",2009,8,3.717702178,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-19",2009,8,5.819056457,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-20",2009,8,29.48322103,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-21",2009,8,28.1965557,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-23",2009,8,3.955211059,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-24",2009,8,0.287365006,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-25",2009,8,0.812222547,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Rajasthan","Chittorgarh","2009-08-05",2009,8,0.432959074,"IMD GRID MODEL"
