"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Coimbatore","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-08",2009,4,0.325356907,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-09",2009,4,0.438810686,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-10",2009,4,5.58713227,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-11",2009,4,5.632059189,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-12",2009,4,0.105743287,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-13",2009,4,3.124217466,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-14",2009,4,5.387426851,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-15",2009,4,0.021952628,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-21",2009,4,6.233635993,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-22",2009,4,0.949143856,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-23",2009,4,1.917931617,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-24",2009,4,0.970963864,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-25",2009,4,0.365449778,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-26",2009,4,0.575053551,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-27",2009,4,0.009901454,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-29",2009,4,7.714771473,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-01",2009,8,9.756831296,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-02",2009,8,3.532310326,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-03",2009,8,7.034977708,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-04",2009,8,7.0046905,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-05",2009,8,6.752291147,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-06",2009,8,2.089529988,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-07",2009,8,18.99670299,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-08",2009,8,4.397174975,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-09",2009,8,1.053040006,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-10",2009,8,1.326810394,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-11",2009,8,2.617605775,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-12",2009,8,12.37261511,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-13",2009,8,4.667485793,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-14",2009,8,15.94050134,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-15",2009,8,21.10671539,"IMD GRID MODEL"
"Tamil Nadu","Coimbatore","2009-08-16",2009,8,15.58287665,"IMD GRID MODEL"
