"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Karnataka","Dakshina Kannada","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-09",2009,4,1.300767287,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-10",2009,4,12.62299287,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-11",2009,4,1.903402251,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-12",2009,4,14.58921707,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-13",2009,4,8.214330542,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-14",2009,4,1.114051578,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-16",2009,4,5.648166266,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-17",2009,4,0.351895472,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-18",2009,4,0.849931068,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-19",2009,4,0.097936541,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-20",2009,4,0.141563234,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-21",2009,4,4.763139111,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-22",2009,4,13.19088451,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-23",2009,4,0.842196629,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-24",2009,4,1.99107844,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-25",2009,4,10.43044639,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-26",2009,4,2.521194747,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-27",2009,4,3.948089413,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-28",2009,4,1.264732931,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-29",2009,4,0.012371855,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-04-30",2009,4,0.002163917,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-01",2009,8,62.62811677,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-02",2009,8,93.91875721,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-03",2009,8,99.13762429,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-04",2009,8,91.40721325,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-05",2009,8,95.85434064,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-06",2009,8,75.35418903,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-07",2009,8,66.21071911,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-08",2009,8,56.79781923,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-09",2009,8,38.27181024,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-10",2009,8,55.44036667,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-11",2009,8,35.99230848,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-12",2009,8,67.27908424,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-13",2009,8,81.32884268,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-14",2009,8,151.6320896,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-15",2009,8,98.41620602,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-16",2009,8,117.6227307,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-17",2009,8,48.92506157,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-18",2009,8,45.95002455,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-19",2009,8,35.86475847,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-20",2009,8,35.78589374,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-21",2009,8,28.38255019,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-22",2009,8,17.13970221,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-23",2009,8,9.644615852,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-24",2009,8,6.99236002,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-25",2009,8,28.6527624,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-26",2009,8,32.10150597,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-27",2009,8,63.24731481,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-28",2009,8,60.10694316,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-29",2009,8,33.57312236,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-30",2009,8,47.24173295,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-08-31",2009,8,27.90491497,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-01",2009,12,1.131198106,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-03",2009,12,0.023495989,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-05",2009,12,0.765490012,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-06",2009,12,1.788553419,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-07",2009,12,2.859835474,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-08",2009,12,4.036970367,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-09",2009,12,43.55118839,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-10",2009,12,14.32231031,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-11",2009,12,11.97194724,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-12",2009,12,0.629043601,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-13",2009,12,2.326627641,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-14",2009,12,6.07573849,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-15",2009,12,21.85767761,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-16",2009,12,9.933100976,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-17",2009,12,0.701898456,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-18",2009,12,0.75375025,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-19",2009,12,6.39776378,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-20",2009,12,16.38644003,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-21",2009,12,6.133181259,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-22",2009,12,5.393395576,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-23",2009,12,2.906515258,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-24",2009,12,8.731080747,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-25",2009,12,2.548578524,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-26",2009,12,0.375394282,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-28",2009,12,0.087798312,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-01-30",2009,1,0.505885381,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-01",2009,7,9.843592364,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-02",2009,7,0.830924632,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-03",2009,7,1.773181567,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-04",2009,7,13.30916932,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-05",2009,7,44.87642619,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-06",2009,7,58.11496015,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-07",2009,7,24.31245488,"IMD GRID MODEL"
"Karnataka","Dakshina Kannada","2009-07-08",2009,7,7.300828472,"IMD GRID MODEL"
