"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttarakhand","Dehradun","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-03",2009,4,0.616901241,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-04",2009,4,0.169475288,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-09",2009,4,0.006643339,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-15",2009,4,0.009965007,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-16",2009,4,0.542283665,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-17",2009,4,0.813529729,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-19",2009,4,1.625889706,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-20",2009,4,0.114574401,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-22",2009,4,0.39835275,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-23",2009,4,0.514588708,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-24",2009,4,3.816173782,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-26",2009,4,1.759305065,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-28",2009,4,0.665025887,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-04-30",2009,4,0.027619611,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-01",2009,8,0.244431566,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-02",2009,8,0.558086975,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-05",2009,8,5.170414399,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-06",2009,8,11.64189146,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-07",2009,8,6.133297081,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-08",2009,8,6.783874932,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-09",2009,8,6.524099152,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-10",2009,8,6.90598769,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-12",2009,8,8.332812012,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-13",2009,8,4.517860612,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-14",2009,8,6.462671172,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-11",2009,8,8.200393427,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-15",2009,8,16.15998029,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-16",2009,8,3.462836894,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-17",2009,8,15.966373,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-18",2009,8,3.162728887,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-19",2009,8,4.120393868,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-20",2009,8,29.59494538,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-21",2009,8,1.945755577,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-22",2009,8,10.20121964,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-23",2009,8,22.0747401,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-24",2009,8,5.756694174,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-25",2009,8,25.93272383,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-26",2009,8,35.53995169,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-27",2009,8,19.1748477,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-28",2009,8,16.6053353,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-29",2009,8,2.083573703,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-30",2009,8,8.630555049,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-08-31",2009,8,1.625156408,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-08",2009,12,1.384145909,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-09",2009,12,4.361987798,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-10",2009,12,0.104686897,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-12",2009,12,0.009912766,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-13",2009,12,6.535988517,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-14",2009,12,5.83663329,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-17",2009,12,0.159023841,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-18",2009,12,0.012090786,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Dehradun","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
