"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Dharmapuri","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-07",2009,4,4.75e-05,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-08",2009,4,1.082621213,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-09",2009,4,4.590573532,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-10",2009,4,0.008237319,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-11",2009,4,3.777818447,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-14",2009,4,3.798727591,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-18",2009,4,0.002388395,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-20",2009,4,2.20323556,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-21",2009,4,30.85193327,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-22",2009,4,0.620143391,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-23",2009,4,0.869584786,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-25",2009,4,3.701641284,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Dharmapuri","2009-04-29",2009,4,1.617276463,"IMD GRID MODEL"
