"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Gujarat","Dohad","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-01",2009,8,5.620311508,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-02",2009,8,29.53137164,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-03",2009,8,10.00067271,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-04",2009,8,6.371441113,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-05",2009,8,7.301913478,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-06",2009,8,2.920209341,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-07",2009,8,3.503044285,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-08",2009,8,15.72841157,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-09",2009,8,3.232186882,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-10",2009,8,0.617645129,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-11",2009,8,4.284848082,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-12",2009,8,11.24466858,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-13",2009,8,10.14809467,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-14",2009,8,7.364084132,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-15",2009,8,2.92796204,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-16",2009,8,6.938689639,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-17",2009,8,5.259302858,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-18",2009,8,8.450778652,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-19",2009,8,2.721131378,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-20",2009,8,37.20827332,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-21",2009,8,55.94175168,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-22",2009,8,4.132684054,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-23",2009,8,5.396652098,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-24",2009,8,6.618466074,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-25",2009,8,4.699343862,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-26",2009,8,2.081734424,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-27",2009,8,0.346990434,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-28",2009,8,0.666347113,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-29",2009,8,0.150444777,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-30",2009,8,0.079945335,"IMD GRID MODEL"
"Gujarat","Dohad","2009-08-31",2009,8,0.177232369,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-10",2009,12,0.918299427,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-11",2009,12,15.83169237,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-12",2009,12,0.752591824,"IMD GRID MODEL"
"Gujarat","Dohad","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
