"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Sikkim","East District","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-05",2009,4,0.163249615,"IMD GRID MODEL"
"Sikkim","East District","2009-04-06",2009,4,1.092954013,"IMD GRID MODEL"
"Sikkim","East District","2009-04-08",2009,4,1.145999504,"IMD GRID MODEL"
"Sikkim","East District","2009-04-09",2009,4,1.552912182,"IMD GRID MODEL"
"Sikkim","East District","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-16",2009,4,0.35672422,"IMD GRID MODEL"
"Sikkim","East District","2009-04-17",2009,4,8.664837228,"IMD GRID MODEL"
"Sikkim","East District","2009-04-19",2009,4,0.128938825,"IMD GRID MODEL"
"Sikkim","East District","2009-04-20",2009,4,0.372974711,"IMD GRID MODEL"
"Sikkim","East District","2009-04-21",2009,4,0.552315155,"IMD GRID MODEL"
"Sikkim","East District","2009-04-22",2009,4,7.808511522,"IMD GRID MODEL"
"Sikkim","East District","2009-04-23",2009,4,5.490172164,"IMD GRID MODEL"
"Sikkim","East District","2009-04-24",2009,4,0.867524403,"IMD GRID MODEL"
"Sikkim","East District","2009-04-25",2009,4,13.05686821,"IMD GRID MODEL"
"Sikkim","East District","2009-04-25",2009,4,13.05686821,"IMD GRID MODEL"
"Sikkim","East District","2009-04-26",2009,4,0.004043238,"IMD GRID MODEL"
"Sikkim","East District","2009-04-26",2009,4,0.004043238,"IMD GRID MODEL"
"Sikkim","East District","2009-04-27",2009,4,1.318327846,"IMD GRID MODEL"
"Sikkim","East District","2009-04-28",2009,4,10.0947697,"IMD GRID MODEL"
"Sikkim","East District","2009-04-30",2009,4,15.68543687,"IMD GRID MODEL"
"Sikkim","East District","2009-04-07",2009,4,0.247523523,"IMD GRID MODEL"
"Sikkim","East District","2009-04-08",2009,4,1.145999504,"IMD GRID MODEL"
"Sikkim","East District","2009-04-09",2009,4,1.552912182,"IMD GRID MODEL"
"Sikkim","East District","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Sikkim","East District","2009-04-16",2009,4,0.35672422,"IMD GRID MODEL"
"Sikkim","East District","2009-04-05",2009,4,0.163249615,"IMD GRID MODEL"
"Sikkim","East District","2009-04-06",2009,4,1.092954013,"IMD GRID MODEL"
"Sikkim","East District","2009-04-17",2009,4,8.664837228,"IMD GRID MODEL"
"Sikkim","East District","2009-04-07",2009,4,0.247523523,"IMD GRID MODEL"
"Sikkim","East District","2009-04-18",2009,4,1.286569739,"IMD GRID MODEL"
"Sikkim","East District","2009-04-18",2009,4,1.286569739,"IMD GRID MODEL"
"Sikkim","East District","2009-04-19",2009,4,0.128938825,"IMD GRID MODEL"
"Sikkim","East District","2009-04-20",2009,4,0.372974711,"IMD GRID MODEL"
"Sikkim","East District","2009-04-21",2009,4,0.552315155,"IMD GRID MODEL"
"Sikkim","East District","2009-04-22",2009,4,7.808511522,"IMD GRID MODEL"
"Sikkim","East District","2009-04-23",2009,4,5.490172164,"IMD GRID MODEL"
"Sikkim","East District","2009-04-24",2009,4,0.867524403,"IMD GRID MODEL"
"Sikkim","East District","2009-04-27",2009,4,1.318327846,"IMD GRID MODEL"
"Sikkim","East District","2009-04-28",2009,4,10.0947697,"IMD GRID MODEL"
"Sikkim","East District","2009-04-29",2009,4,16.93254589,"IMD GRID MODEL"
"Sikkim","East District","2009-04-29",2009,4,16.93254589,"IMD GRID MODEL"
"Sikkim","East District","2009-04-30",2009,4,15.68543687,"IMD GRID MODEL"
"Sikkim","East District","2009-08-01",2009,8,31.05520189,"IMD GRID MODEL"
"Sikkim","East District","2009-08-02",2009,8,16.18439921,"IMD GRID MODEL"
"Sikkim","East District","2009-08-02",2009,8,16.18439921,"IMD GRID MODEL"
"Sikkim","East District","2009-08-03",2009,8,50.91941618,"IMD GRID MODEL"
"Sikkim","East District","2009-08-03",2009,8,50.91941618,"IMD GRID MODEL"
"Sikkim","East District","2009-08-04",2009,8,8.552974412,"IMD GRID MODEL"
"Sikkim","East District","2009-08-05",2009,8,21.38584167,"IMD GRID MODEL"
"Sikkim","East District","2009-08-07",2009,8,16.93973074,"IMD GRID MODEL"
"Sikkim","East District","2009-08-08",2009,8,29.05699815,"IMD GRID MODEL"
"Sikkim","East District","2009-08-09",2009,8,0.551391421,"IMD GRID MODEL"
"Sikkim","East District","2009-08-10",2009,8,8.13359947,"IMD GRID MODEL"
"Sikkim","East District","2009-08-11",2009,8,0.290883228,"IMD GRID MODEL"
"Sikkim","East District","2009-08-12",2009,8,3.930290068,"IMD GRID MODEL"
"Sikkim","East District","2009-08-13",2009,8,21.74691969,"IMD GRID MODEL"
"Sikkim","East District","2009-08-13",2009,8,21.74691969,"IMD GRID MODEL"
"Sikkim","East District","2009-08-14",2009,8,16.91569731,"IMD GRID MODEL"
"Sikkim","East District","2009-08-14",2009,8,16.91569731,"IMD GRID MODEL"
"Sikkim","East District","2009-08-15",2009,8,7.492778303,"IMD GRID MODEL"
"Sikkim","East District","2009-08-16",2009,8,1.432605177,"IMD GRID MODEL"
"Sikkim","East District","2009-08-18",2009,8,5.358546193,"IMD GRID MODEL"
"Sikkim","East District","2009-08-19",2009,8,7.398940827,"IMD GRID MODEL"
"Sikkim","East District","2009-08-20",2009,8,38.912385,"IMD GRID MODEL"
"Sikkim","East District","2009-08-21",2009,8,10.38750823,"IMD GRID MODEL"
"Sikkim","East District","2009-08-22",2009,8,13.76499388,"IMD GRID MODEL"
"Sikkim","East District","2009-08-23",2009,8,3.81404185,"IMD GRID MODEL"
"Sikkim","East District","2009-08-24",2009,8,41.61223823,"IMD GRID MODEL"
