"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Meghalaya","East Garo Hills","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-04",2009,4,6.06e-05,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-18",2009,4,0.139981376,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-20",2009,4,4.659569844,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-21",2009,4,0.391430225,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-23",2009,4,0.12525768,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-24",2009,4,0.423949949,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-25",2009,4,10.77659603,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-26",2009,4,0.243626426,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-27",2009,4,1.07370996,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-28",2009,4,24.60293486,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-29",2009,4,21.35780467,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-04-30",2009,4,7.744720357,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-01",2009,8,34.73875574,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-02",2009,8,24.27073277,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-03",2009,8,12.45805067,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-04",2009,8,11.03578213,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-05",2009,8,29.78043967,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-06",2009,8,6.272341422,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-07",2009,8,2.521737439,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-08",2009,8,9.338337512,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-09",2009,8,4.185772154,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-10",2009,8,9.729933325,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-11",2009,8,0.04169033,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-12",2009,8,3.491464107,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-13",2009,8,3.445470072,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-14",2009,8,11.75003096,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-15",2009,8,1.097602555,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-16",2009,8,2.077745108,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-17",2009,8,2.873449739,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-18",2009,8,0.034021377,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-19",2009,8,19.5408046,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-20",2009,8,8.122631459,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-21",2009,8,6.839067508,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-22",2009,8,1.283636825,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-23",2009,8,0.763417272,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-24",2009,8,45.12489594,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-25",2009,8,29.62528237,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-26",2009,8,30.22654555,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-27",2009,8,125.8073034,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-28",2009,8,56.22797844,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-29",2009,8,17.21139318,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-30",2009,8,22.87887221,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-08-31",2009,8,0.612677673,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-14",2009,12,1.936909095,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-15",2009,12,7.673643416,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-16",2009,12,0.045679801,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-17",2009,12,0.044007661,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Meghalaya","East Garo Hills","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
