"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jharkhand","East Singhbum","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-08",2009,4,3.320453265,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-09",2009,4,0.714763384,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-10",2009,4,1.008934379,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-20",2009,4,0.239644515,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-22",2009,4,1.408181886,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-24",2009,4,0.242235949,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-25",2009,4,1.295301475,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-27",2009,4,0.098151504,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-30",2009,4,0.01192533,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-28",2009,4,1.785595362,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-04-29",2009,4,4.49760469,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-01",2009,8,8.235637978,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-02",2009,8,14.13030888,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-03",2009,8,0.815684771,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-04",2009,8,6.054814412,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-05",2009,8,10.37932828,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-07",2009,8,6.496425491,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-08",2009,8,16.52287601,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-09",2009,8,40.04969446,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-10",2009,8,12.76888638,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-11",2009,8,32.54112238,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-12",2009,8,10.74693853,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-13",2009,8,10.2445224,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-14",2009,8,7.091004233,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-15",2009,8,29.04273109,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-16",2009,8,0.819329582,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-18",2009,8,11.48747916,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-19",2009,8,12.39026991,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-20",2009,8,3.865828943,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-21",2009,8,8.467026033,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-22",2009,8,0.21276815,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-23",2009,8,1.496253547,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-24",2009,8,24.45369594,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-25",2009,8,14.65193443,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-26",2009,8,2.012446282,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-27",2009,8,7.360231093,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-29",2009,8,1.342619007,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-30",2009,8,0.636395948,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-31",2009,8,6.351068969,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-06",2009,8,34.16541433,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-17",2009,8,8.124845481,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-08-28",2009,8,0.643212415,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-10",2009,12,0.017261128,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-15",2009,12,1.362426704,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-17",2009,12,9.347073147,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-18",2009,12,1.238768271,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-16",2009,12,3.191346225,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-04",2009,2,0.911102404,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-05",2009,2,0.081131984,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-26",2009,2,0.014337451,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-05",2009,1,0.081131984,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Jharkhand","East Singhbum","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
