"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Kerala","Ernakulam","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-08",2009,4,4.323223888,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-09",2009,4,0.532519853,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-10",2009,4,6.098386701,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-11",2009,4,6.250366723,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-12",2009,4,3.384662738,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-13",2009,4,8.848908966,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-14",2009,4,11.89398154,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-18",2009,4,0.00238055,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-21",2009,4,1.975403245,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-22",2009,4,7.062016683,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-23",2009,4,10.95715401,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-24",2009,4,4.303305363,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-25",2009,4,0.423312631,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-26",2009,4,1.300580765,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-27",2009,4,2.380456028,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-28",2009,4,1.854283232,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-29",2009,4,0.850920206,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-08-01",2009,8,25.33353369,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-08-02",2009,8,28.30362376,"IMD GRID MODEL"
"Kerala","Ernakulam","2009-08-03",2009,8,33.01403776,"IMD GRID MODEL"
