"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Karnataka","Gadag","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-10",2009,4,0.357442064,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-11",2009,4,0.130246844,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-12",2009,4,0.623657858,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-13",2009,4,1.949836857,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-15",2009,4,0.169169859,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-16",2009,4,0.027838502,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-18",2009,4,0.005757673,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-21",2009,4,0.280044031,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-22",2009,4,4.481484313,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-23",2009,4,0.048005642,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-24",2009,4,0.103761692,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-27",2009,4,0.017632871,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-28",2009,4,0.035771389,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-01",2009,8,4.32707772,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-02",2009,8,8.204629679,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-03",2009,8,3.799120769,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-04",2009,8,5.531357649,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-05",2009,8,3.541885983,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-06",2009,8,4.64342349,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-07",2009,8,11.72876447,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-08",2009,8,10.84066185,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-09",2009,8,5.509999661,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-10",2009,8,4.492586801,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-11",2009,8,0.944003499,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-12",2009,8,4.60624884,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-13",2009,8,13.05287094,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-14",2009,8,15.64335476,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-15",2009,8,6.146361235,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-16",2009,8,5.685107538,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-17",2009,8,4.815940098,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-18",2009,8,4.77178811,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-19",2009,8,0.746383776,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-20",2009,8,1.509103821,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-21",2009,8,1.639322058,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-22",2009,8,0.469025144,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-24",2009,8,0.006940253,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-25",2009,8,0.485687397,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-26",2009,8,0.663365079,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-27",2009,8,2.114161553,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-28",2009,8,6.248905326,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-29",2009,8,0.240165649,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-30",2009,8,0.330291027,"IMD GRID MODEL"
"Karnataka","Gadag","2009-08-31",2009,8,0.235723894,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-01",2009,12,0.397748497,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-02",2009,12,0.082460055,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-05",2009,12,0.012388063,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-07",2009,12,0.287742339,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-08",2009,12,6.221601792,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-09",2009,12,3.410819205,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-10",2009,12,3.989092536,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-11",2009,12,1.521671207,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-13",2009,12,0.000534689,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-15",2009,12,1.290404515,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-16",2009,12,10.06284339,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-17",2009,12,1.464486435,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-18",2009,12,0.318829694,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-19",2009,12,7.102828828,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-20",2009,12,0.667969526,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-21",2009,12,0.746458992,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-27",2009,2,0.032876122,"IMD GRID MODEL"
"Karnataka","Gadag","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-27",2009,1,0.032876122,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-01",2009,7,2.442995279,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-02",2009,7,0.344333456,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-03",2009,7,2.317617906,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-04",2009,7,3.316744657,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-05",2009,7,5.33588739,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-06",2009,7,13.6687134,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-07",2009,7,17.59133444,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-08",2009,7,7.856425668,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-09",2009,7,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-10",2009,7,0.184589738,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-11",2009,7,6.024303611,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-12",2009,7,1.93928931,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-13",2009,7,8.358302533,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-14",2009,7,6.218387378,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-15",2009,7,13.58933861,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-16",2009,7,10.78681205,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-17",2009,7,4.062879349,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-18",2009,7,3.462894427,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-19",2009,7,0.467356874,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-20",2009,7,0.659567189,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-21",2009,7,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-22",2009,7,0.026860729,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-23",2009,7,0.63220599,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-24",2009,7,0.371027265,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-25",2009,7,2.643366123,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-26",2009,7,1.057026278,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-27",2009,7,1.522241759,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-28",2009,7,0.082772309,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-29",2009,7,0.234358168,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-30",2009,7,0.762663361,"IMD GRID MODEL"
"Karnataka","Gadag","2009-07-31",2009,7,1.843638923,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-02",2009,6,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-03",2009,6,0.493340245,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-04",2009,6,16.75723353,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-05",2009,6,1.902479526,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-06",2009,6,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-07",2009,6,0.243581345,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-08",2009,6,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-09",2009,6,0.35856164,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-10",2009,6,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-11",2009,6,0.0,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-12",2009,6,0.389969382,"IMD GRID MODEL"
"Karnataka","Gadag","2009-06-13",2009,6,2.959838232,"IMD GRID MODEL"
