"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Ganderbal","2009-04-02",2009,4,0.101028494,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-03",2009,4,1.210626725,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-05",2009,4,1.509253026,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-17",2009,4,0.749320009,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-18",2009,4,2.380998377,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-19",2009,4,9.658437168,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-23",2009,4,3.3533591,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-24",2009,4,4.15615021,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-26",2009,4,9.159594033,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-27",2009,4,7.56311384,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-28",2009,4,3.006751569,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-29",2009,4,5.15e-05,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-01",2009,8,0.651758981,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-02",2009,8,0.246022227,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-03",2009,8,3.279471113,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-07",2009,8,0.519481982,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-10",2009,8,0.149007609,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-12",2009,8,0.113365829,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-16",2009,8,0.50872524,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-17",2009,8,0.057705573,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-19",2009,8,0.000102304,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-20",2009,8,5.868498027,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-22",2009,8,2.891756722,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-23",2009,8,0.64078196,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-25",2009,8,0.374660026,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-26",2009,8,0.101672446,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-27",2009,8,10.70692347,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-28",2009,8,0.428988767,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-29",2009,8,0.007857636,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-11",2009,8,4.285895151,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-30",2009,8,0.00016934,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-08-31",2009,8,0.105533291,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-08",2009,12,2.643972514,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-09",2009,12,38.89172323,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-10",2009,12,0.007857636,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Ganderbal","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
