"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Bihar","Gopalganj","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-25",2009,4,0.003122987,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-01",2009,8,0.785227928,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-02",2009,8,3.317961397,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-03",2009,8,0.043401567,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-04",2009,8,10.88303537,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-05",2009,8,5.249004038,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-06",2009,8,3.909676606,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-07",2009,8,1.698598426,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-08",2009,8,0.000440587,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-09",2009,8,0.348862119,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-10",2009,8,2.904581369,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-13",2009,8,2.688047006,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-15",2009,8,8.1e-05,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-16",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-18",2009,8,2.048710402,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-19",2009,8,0.991618192,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-20",2009,8,0.194693071,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-21",2009,8,4.090793631,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-22",2009,8,5.954607207,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-23",2009,8,0.04212492,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-24",2009,8,0.04366525,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-25",2009,8,65.79388764,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-26",2009,8,62.75150965,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-27",2009,8,32.63078872,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-28",2009,8,25.03051896,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-29",2009,8,0.335679674,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-30",2009,8,0.004442068,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-08-31",2009,8,10.74507995,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Bihar","Gopalganj","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
