"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jharkhand","Gumla","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-08",2009,4,8.730442598,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-20",2009,4,0.069808719,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-24",2009,4,1.515858525,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-25",2009,4,0.022658475,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-01",2009,8,2.191777592,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-02",2009,8,10.9581757,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-03",2009,8,4.202581375,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-04",2009,8,17.44223647,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-05",2009,8,19.44137729,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-06",2009,8,40.60749261,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-07",2009,8,10.67067687,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-08",2009,8,26.93693323,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-09",2009,8,16.62002692,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-10",2009,8,26.04344136,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-11",2009,8,11.88163331,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-12",2009,8,2.489336016,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-13",2009,8,7.159187548,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-14",2009,8,22.39951646,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-15",2009,8,5.280392063,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-16",2009,8,0.481454825,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-17",2009,8,5.528215426,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-18",2009,8,14.0559545,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-19",2009,8,13.84503841,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-20",2009,8,14.13071138,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-21",2009,8,6.78458393,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-22",2009,8,1.858113663,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-23",2009,8,7.26754437,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-24",2009,8,0.42109622,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-25",2009,8,8.566876876,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-26",2009,8,31.37994049,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-27",2009,8,5.900204236,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-28",2009,8,2.038508979,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-30",2009,8,0.00316023,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-08-31",2009,8,5.165392859,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-09",2009,12,0.458765715,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-13",2009,12,2.165159044,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-16",2009,12,6.975926098,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-17",2009,12,10.97388012,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-05",2009,2,0.238001053,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-06",2009,2,0.107064475,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-07",2009,2,1.864041351,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-09",2009,2,0.097762024,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Jharkhand","Gumla","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
