"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Madhya Pradesh","Guna","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-19",2009,4,0.081302639,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-01",2009,8,2.621751812,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-02",2009,8,0.088247415,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-03",2009,8,2.159203066,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-04",2009,8,0.046721635,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-05",2009,8,0.270047186,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-07",2009,8,15.7452502,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-08",2009,8,14.44394311,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-09",2009,8,0.009621516,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-10",2009,8,0.143054717,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-11",2009,8,1.992170325,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-12",2009,8,19.65798976,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-13",2009,8,7.037175116,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-14",2009,8,18.59819469,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-15",2009,8,26.01185022,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-16",2009,8,14.33570282,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-17",2009,8,1.602626978,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-18",2009,8,0.028493959,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-19",2009,8,8.425805614,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-20",2009,8,14.10369044,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-21",2009,8,14.78101088,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-22",2009,8,5.748215092,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-23",2009,8,3.663332011,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-24",2009,8,3.687011377,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-25",2009,8,1.210286545,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-26",2009,8,0.002879301,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-27",2009,8,0.010404461,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-11",2009,12,14.9993112,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-12",2009,12,11.19433381,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-13",2009,12,15.69743192,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-14",2009,12,5.401801646,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-15",2009,12,2.394820297,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-16",2009,12,8.746024136,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-07",2009,2,0.091815323,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-08",2009,2,10.95248163,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-09",2009,2,1.515820199,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-14",2009,2,0.081536217,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-07",2009,1,0.091815323,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-08",2009,1,10.95248163,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-09",2009,1,1.515820199,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-14",2009,1,0.081536217,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-01",2009,7,0.046581188,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-02",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-04",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-05",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-06",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-07",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-08",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-09",2009,7,0.002357874,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-10",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-11",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-12",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-13",2009,7,0.040590692,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-14",2009,7,8.329489742,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-15",2009,7,0.513543532,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-16",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-17",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-18",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-19",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-20",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-21",2009,7,0.012044615,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-22",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-23",2009,7,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-24",2009,7,7.092365858,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-25",2009,7,3.785725431,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-26",2009,7,7.045747572,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-27",2009,7,38.25085574,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-28",2009,7,9.769822769,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-29",2009,7,0.023500688,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-30",2009,7,0.001876472,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-07-31",2009,7,15.16636777,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-02",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-03",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-04",2009,6,0.13869769,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-05",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-06",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-07",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-08",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-09",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-10",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-11",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-12",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-13",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-14",2009,6,0.506060083,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-16",2009,6,1.105296288,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-17",2009,6,0.564733539,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-15",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-18",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-19",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-20",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-21",2009,6,0.013075718,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-22",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-23",2009,6,0.147444325,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-24",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-25",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-26",2009,6,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-27",2009,6,0.298115196,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-28",2009,6,0.800715016,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-29",2009,6,0.738632797,"IMD GRID MODEL"
"Madhya Pradesh","Guna","2009-06-30",2009,6,0.0,"IMD GRID MODEL"
