"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Hardoi","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-19",2009,4,0.532009436,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-23",2009,4,0.075717292,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-24",2009,4,0.136979031,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-27",2009,4,0.001840719,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-28",2009,4,0.618711142,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-01",2009,8,2.432526008,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-02",2009,8,4.279927054,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-04",2009,8,0.231575905,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-07",2009,8,0.838267879,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-08",2009,8,0.127001847,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-09",2009,8,0.029171378,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-10",2009,8,4.624544338,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-11",2009,8,9.829491414,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-12",2009,8,15.49379753,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-13",2009,8,5.845362833,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-14",2009,8,4.822167115,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-16",2009,8,1.790792365,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-17",2009,8,0.856555228,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-18",2009,8,10.71602524,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-19",2009,8,0.015723353,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-20",2009,8,2.874779894,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-21",2009,8,1.527560854,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-22",2009,8,2.075587556,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-23",2009,8,0.0268942,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-24",2009,8,0.206765955,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-25",2009,8,0.141122455,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-26",2009,8,46.42315885,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-27",2009,8,17.71002945,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-28",2009,8,2.736488508,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-29",2009,8,0.371695452,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-30",2009,8,0.244245058,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-08-31",2009,8,0.242856735,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-12",2009,12,1.69928899,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-13",2009,12,0.135217585,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hardoi","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
