"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttarakhand","Haridwar","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-04",2009,4,3.87e-05,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-16",2009,4,0.280633798,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-19",2009,4,0.039117058,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-20",2009,4,0.025174174,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-22",2009,4,0.10542748,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-23",2009,4,0.144811649,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-24",2009,4,1.413194221,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-26",2009,4,1.988765624,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-28",2009,4,1.937384931,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-04-30",2009,4,1.341194883,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-01",2009,8,0.022532454,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-06",2009,8,3.869186498,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-07",2009,8,1.555215126,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-08",2009,8,0.724527844,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-09",2009,8,1.009270508,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-10",2009,8,0.449211054,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-11",2009,8,26.24523251,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-12",2009,8,6.991717744,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-13",2009,8,3.403168751,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-14",2009,8,6.19810436,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-15",2009,8,2.831522191,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-16",2009,8,0.064985047,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-17",2009,8,17.98398026,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-18",2009,8,4.887375729,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-19",2009,8,0.14545177,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-20",2009,8,30.37696734,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-21",2009,8,7.7575482,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-22",2009,8,18.75708591,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-23",2009,8,4.963608716,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-24",2009,8,1.886332451,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-25",2009,8,29.40061181,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-26",2009,8,48.4551457,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-27",2009,8,15.1284012,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-28",2009,8,20.05260173,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-29",2009,8,0.987617031,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-30",2009,8,0.328160265,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-08-31",2009,8,0.377675938,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-09",2009,12,1.806193318,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-13",2009,12,0.0117637,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-14",2009,12,1.427899496,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Uttarakhand","Haridwar","2009-12-17",2009,12,0.098358228,"IMD GRID MODEL"
