"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Hathras","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-01",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-23",2009,4,0.15347192,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-24",2009,4,0.152690351,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-25",2009,4,0.037361612,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-26",2009,4,0.025448393,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-28",2009,4,0.037361612,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-01",2009,8,0.81153511,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-02",2009,8,1.274777866,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-03",2009,8,0.139966159,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-06",2009,8,1.352558582,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-07",2009,8,1.744691717,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-08",2009,8,4.223034509,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-09",2009,8,3.202811256,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-10",2009,8,1.259020391,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-11",2009,8,3.093582297,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-12",2009,8,0.595429826,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-13",2009,8,0.698813779,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-14",2009,8,0.622004061,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-15",2009,8,0.002168503,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-16",2009,8,0.446630521,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-17",2009,8,0.005580702,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-18",2009,8,0.231268928,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-19",2009,8,0.003004629,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-20",2009,8,2.244157734,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-21",2009,8,0.166725089,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-22",2009,8,1.961443918,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-25",2009,8,0.002149562,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-26",2009,8,3.479069267,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-28",2009,8,0.856974133,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-29",2009,8,0.412470525,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-30",2009,8,0.078242227,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-11",2009,12,6.79e-05,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-12",2009,12,12.09462105,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-13",2009,12,1.142703008,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-15",2009,12,1.51e-05,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-16",2009,12,0.148142375,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Hathras","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
