"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Maharashtra","Hingoli","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-12",2009,4,0.112652596,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-13",2009,4,0.332360034,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-14",2009,4,0.057824538,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-22",2009,4,1.648272027,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-01",2009,8,0.735382546,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-02",2009,8,7.968760988,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-03",2009,8,7.077724888,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-04",2009,8,15.633178,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-05",2009,8,3.799954157,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-06",2009,8,29.21888439,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-07",2009,8,3.238269547,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-08",2009,8,15.64268867,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-09",2009,8,18.57078111,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-10",2009,8,1.633403675,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-11",2009,8,2.376713654,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-12",2009,8,15.66202596,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-13",2009,8,20.89563384,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-14",2009,8,0.93977816,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-15",2009,8,4.672971264,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-16",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-17",2009,8,0.009434259,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-18",2009,8,11.42596545,"IMD GRID MODEL"
"Maharashtra","Hingoli","2009-08-19",2009,8,21.45839009,"IMD GRID MODEL"
