"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Madhya Pradesh","Hoshangabad","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-01",2009,8,0.602380641,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-02",2009,8,8.512570736,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-03",2009,8,1.999355203,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-04",2009,8,10.90893084,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-05",2009,8,1.47419592,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-06",2009,8,16.52621784,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-07",2009,8,10.23285618,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-08",2009,8,8.482224772,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-09",2009,8,3.174619619,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-10",2009,8,2.10786638,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-11",2009,8,2.557667468,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-12",2009,8,17.81479638,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-13",2009,8,26.72952261,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-14",2009,8,20.12999698,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-15",2009,8,2.693407778,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-16",2009,8,9.403242833,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-17",2009,8,13.34857924,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-18",2009,8,17.62660509,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-19",2009,8,64.87196311,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-20",2009,8,125.8784297,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-21",2009,8,95.39434464,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-22",2009,8,2.80447563,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-24",2009,8,4.242573484,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-25",2009,8,4.31099881,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-26",2009,8,1.677649493,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-27",2009,8,2.485340855,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-28",2009,8,0.692378794,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-29",2009,8,0.045134382,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-08",2009,12,1.20940861,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-09",2009,12,2.909320792,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-10",2009,12,16.90869192,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-11",2009,12,14.26464501,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-12",2009,12,23.7428158,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-13",2009,12,6.139032115,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-14",2009,12,3.752177611,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-15",2009,12,11.04658906,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-16",2009,12,13.25157033,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-17",2009,12,0.512333072,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-06",2009,2,2.444754473,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-07",2009,2,0.438240315,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-08",2009,2,0.202459262,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-09",2009,2,0.439179245,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Madhya Pradesh","Hoshangabad","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
