"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Kerala","Idukki","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-08",2009,4,3.563514993,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-09",2009,4,2.392933538,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-10",2009,4,16.11190614,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-11",2009,4,17.91738758,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-12",2009,4,6.661115068,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-13",2009,4,12.31392157,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-14",2009,4,13.53604611,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-15",2009,4,0.092758472,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-18",2009,4,1.729022153,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-21",2009,4,1.424373747,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-22",2009,4,5.114955796,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-23",2009,4,13.68224099,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-24",2009,4,4.532801916,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-25",2009,4,0.474472843,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-26",2009,4,3.491272308,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-27",2009,4,0.763354519,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-28",2009,4,0.576095355,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-29",2009,4,1.342195911,"IMD GRID MODEL"
"Kerala","Idukki","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Kerala","Idukki","2009-08-01",2009,8,13.23606898,"IMD GRID MODEL"
"Kerala","Idukki","2009-08-02",2009,8,20.3926155,"IMD GRID MODEL"
"Kerala","Idukki","2009-08-03",2009,8,12.05101649,"IMD GRID MODEL"
"Kerala","Idukki","2009-08-04",2009,8,14.93459488,"IMD GRID MODEL"
