"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Chhattisgarh","Janjgir-Champa","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-18",2009,4,0.001800395,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-20",2009,4,0.943505729,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-24",2009,4,0.771830932,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-29",2009,4,0.164657499,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-01",2009,8,9.174106579,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-02",2009,8,20.80626541,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-03",2009,8,1.281369659,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-04",2009,8,10.69453107,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-05",2009,8,30.68885873,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-06",2009,8,17.23659715,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-07",2009,8,13.37467318,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-08",2009,8,21.59289849,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-09",2009,8,6.056167296,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-10",2009,8,21.32800725,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-11",2009,8,63.02586521,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-12",2009,8,60.51003797,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-13",2009,8,22.50515391,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-14",2009,8,44.30480083,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-15",2009,8,1.784394381,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-16",2009,8,0.974363892,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-17",2009,8,5.299036755,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-18",2009,8,24.48875595,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-19",2009,8,56.18180463,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-20",2009,8,42.85348205,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-21",2009,8,2.400304089,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-22",2009,8,4.495437655,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-24",2009,8,3.914935643,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-25",2009,8,2.587216038,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-26",2009,8,0.406103513,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-27",2009,8,2.943882217,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-30",2009,8,0.001415455,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-15",2009,12,1.159728096,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-16",2009,12,4.61928903,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-17",2009,12,8.402795629,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-04",2009,2,0.787372562,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-05",2009,2,1.897650466,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-06",2009,2,2.02848895,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-07",2009,2,2.136149758,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Janjgir-Champa","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
