"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Chhattisgarh","Jashpur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-08",2009,4,0.103053632,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-18",2009,4,0.017314622,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-20",2009,4,0.331510975,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-24",2009,4,1.749436441,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-01",2009,8,2.23065793,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-02",2009,8,7.741215714,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-03",2009,8,1.499114362,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-04",2009,8,4.093061076,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-05",2009,8,46.55622024,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-06",2009,8,67.90018196,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-07",2009,8,12.51090679,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-08",2009,8,5.98773802,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-09",2009,8,53.95078461,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-10",2009,8,8.174310092,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-11",2009,8,13.22443957,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-12",2009,8,1.698136068,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-13",2009,8,2.221455136,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-14",2009,8,68.84308878,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-15",2009,8,10.38923991,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-16",2009,8,0.622364988,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-17",2009,8,4.77156289,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-18",2009,8,32.87744394,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-19",2009,8,15.53047002,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-20",2009,8,15.14457367,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-21",2009,8,9.664160863,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-22",2009,8,3.556710239,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-23",2009,8,2.217167317,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-24",2009,8,0.389643003,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-25",2009,8,12.49684197,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-26",2009,8,74.92945881,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-27",2009,8,6.881740453,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-28",2009,8,0.442378277,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-08-31",2009,8,16.69719284,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-05",2009,12,0.017497034,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-09",2009,12,0.000354963,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-10",2009,12,0.050303971,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-13",2009,12,0.001588884,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-15",2009,12,0.124758866,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-16",2009,12,1.045863242,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-17",2009,12,9.129592642,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-04",2009,2,0.472217185,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-05",2009,2,0.871272708,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-06",2009,2,0.589514519,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-07",2009,2,0.095193938,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Chhattisgarh","Jashpur","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
