"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Jaunpur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-08",2009,4,0.012775167,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-09",2009,4,0.012775167,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-01",2009,8,0.299031206,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-02",2009,8,0.143056836,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-03",2009,8,0.937285597,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-04",2009,8,2.173663967,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-05",2009,8,17.38299448,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-06",2009,8,7.210249032,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-07",2009,8,4.079733003,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-08",2009,8,0.03833148,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-09",2009,8,1.360799248,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-10",2009,8,14.07272974,"IMD GRID MODEL"
"Uttar Pradesh","Jaunpur","2009-08-11",2009,8,3.115376257,"IMD GRID MODEL"
