"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Assam","Kamrup Metro","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-20",2009,4,3.841154074,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-21",2009,4,0.403143516,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-23",2009,4,0.129005933,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-24",2009,4,0.340737456,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-25",2009,4,1.977886089,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-26",2009,4,3.63537416,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-27",2009,4,0.37738764,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-28",2009,4,6.363080757,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-29",2009,4,22.62095955,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-04-30",2009,4,6.326712099,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-01",2009,8,12.76624244,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-02",2009,8,18.6538579,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-03",2009,8,2.181532023,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-04",2009,8,10.63779244,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-05",2009,8,3.549349905,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-06",2009,8,8.815388826,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-07",2009,8,47.4544776,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-08",2009,8,2.262071417,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-09",2009,8,14.38682029,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-10",2009,8,0.625210585,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-11",2009,8,5.970549559,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-12",2009,8,0.331095738,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-13",2009,8,3.343175751,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-14",2009,8,2.690702943,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-15",2009,8,11.71009903,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-16",2009,8,37.89004546,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-17",2009,8,1.291404427,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-18",2009,8,0.514857205,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-19",2009,8,0.116001249,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-20",2009,8,5.71171361,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-21",2009,8,10.63710654,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-22",2009,8,0.13685508,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-23",2009,8,0.910854515,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-24",2009,8,33.09188977,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-25",2009,8,14.54780648,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-26",2009,8,16.18655581,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-27",2009,8,13.00152955,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-28",2009,8,7.502005011,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-29",2009,8,2.974313649,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-30",2009,8,2.923286615,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-08-31",2009,8,1.67108417,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-14",2009,12,0.120279378,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-15",2009,12,2.566315886,"IMD GRID MODEL"
"Assam","Kamrup Metro","2009-12-16",2009,12,0.165405625,"IMD GRID MODEL"
