"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Kanniyakumari","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-08",2009,4,0.003913576,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-10",2009,4,0.149640752,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-11",2009,4,0.750810941,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-12",2009,4,4.159071908,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-14",2009,4,0.088263919,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-22",2009,4,0.012949104,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-23",2009,4,1.537448119,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-28",2009,4,0.064579809,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-13",2009,4,2.486616143,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-02",2009,8,0.508810722,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-04",2009,8,1.064950275,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-07",2009,8,5.088091959,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-08",2009,8,0.288589272,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-11",2009,8,1.838144395,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-13",2009,8,6.51425783,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-14",2009,8,5.303166768,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-15",2009,8,9.763394736,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-16",2009,8,13.32330591,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-18",2009,8,0.253382864,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-19",2009,8,0.489627308,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-25",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-27",2009,8,0.002328922,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-28",2009,8,0.003837444,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-30",2009,8,0.00056851,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-01",2009,8,0.285139658,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-12",2009,8,0.049162468,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-02",2009,12,1.565888768,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-03",2009,12,1.080729193,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-04",2009,12,23.40043411,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-05",2009,12,28.48207674,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-06",2009,12,23.4280963,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-07",2009,12,9.669946706,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-08",2009,12,30.09213928,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-10",2009,12,0.066885261,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-13",2009,12,11.44343383,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-09",2009,12,17.3617015,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-14",2009,12,51.6482527,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-15",2009,12,1.102966206,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-16",2009,12,4.520802091,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-17",2009,12,1.479665901,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-18",2009,12,5.474059985,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-19",2009,12,1.692426459,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-20",2009,12,23.59476801,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-21",2009,12,12.68716619,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-25",2009,12,0.360376204,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-31",2009,12,1.078194587,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-12-22",2009,12,5.800923599,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Kanniyakumari","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
