"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Ladakh","Kargil","2009-04-02",2009,4,0.013367493,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-03",2009,4,1.916551965,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-04",2009,4,1.463907263,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-05",2009,4,0.792121263,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-09",2009,4,0.487969097,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-10",2009,4,0.390238168,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-11",2009,4,0.191851276,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-14",2009,4,0.585357266,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-17",2009,4,0.315124844,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-18",2009,4,1.412144726,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-19",2009,4,7.683246576,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-20",2009,4,1.604761318,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-21",2009,4,1.546879912,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-22",2009,4,0.390238168,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-23",2009,4,3.432990368,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-24",2009,4,2.967912425,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-25",2009,4,0.046142227,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-26",2009,4,4.801274303,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-27",2009,4,4.764289521,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-28",2009,4,4.015504137,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-29",2009,4,0.065809931,"IMD GRID MODEL"
"Ladakh","Kargil","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Ladakh","Kargil","2009-08-01",2009,8,3.210518108,"IMD GRID MODEL"
