"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Haryana","Karnal","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-16",2009,4,0.171990582,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-17",2009,4,0.457832013,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-19",2009,4,0.013868989,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-23",2009,4,0.340969951,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-24",2009,4,0.093319775,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-26",2009,4,0.227569655,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-27",2009,4,0.147896175,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-28",2009,4,0.312133576,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-29",2009,4,0.002554677,"IMD GRID MODEL"
"Haryana","Karnal","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-06",2009,8,0.044310673,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-07",2009,8,0.367905979,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-08",2009,8,1.260140874,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-09",2009,8,0.678746951,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-10",2009,8,0.005903612,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-11",2009,8,2.733756535,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-12",2009,8,1.824861367,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-13",2009,8,2.629765898,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-14",2009,8,9.620956336,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-15",2009,8,0.062063124,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-16",2009,8,0.006462731,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-17",2009,8,0.768068963,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-18",2009,8,0.703087456,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-19",2009,8,0.393411329,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-20",2009,8,0.238912481,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-21",2009,8,0.121770849,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-22",2009,8,0.366915118,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-23",2009,8,0.391448142,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-24",2009,8,0.131814557,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-25",2009,8,2.040502534,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-26",2009,8,4.238888834,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-27",2009,8,9.661705473,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-28",2009,8,5.085500791,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-29",2009,8,3.401567854,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-30",2009,8,4.547452956,"IMD GRID MODEL"
"Haryana","Karnal","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-09",2009,12,0.002475176,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-13",2009,12,0.001447223,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Haryana","Karnal","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
