"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Tamil Nadu","Karur","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-08",2009,4,2.507604898,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-09",2009,4,0.197483905,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-10",2009,4,0.525660907,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-11",2009,4,0.020495873,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-12",2009,4,0.00681786,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-13",2009,4,0.035867777,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-14",2009,4,1.394589029,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-29",2009,4,0.324073781,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-01",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-03",2009,8,0.208125848,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-04",2009,8,0.039560315,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-05",2009,8,0.039560315,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-07",2009,8,0.150755518,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-08",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-09",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-10",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-13",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-16",2009,8,0.061938983,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-23",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-25",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-26",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-28",2009,8,0.007615411,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-30",2009,8,0.91444443,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-02",2009,12,1.558991441,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-03",2009,12,1.005077021,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-04",2009,12,14.39043807,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-01",2009,12,1.376707738,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-05",2009,12,10.5416199,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-06",2009,12,2.315934791,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-07",2009,12,31.72069088,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-08",2009,12,53.73826898,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-10",2009,12,6.77284503,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-11",2009,12,6.318673277,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-09",2009,12,5.453583984,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-12",2009,12,0.07742372,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-13",2009,12,3.599045278,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-14",2009,12,23.09736789,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-15",2009,12,1.902137852,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-16",2009,12,1.929530288,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-17",2009,12,9.786913297,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-18",2009,12,0.253651845,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-19",2009,12,1.338371599,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-20",2009,12,3.501510915,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-21",2009,12,5.364503193,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-22",2009,12,5.93302829,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-23",2009,12,2.194000128,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-24",2009,12,1.347948377,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-29",2009,12,0.039560315,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-30",2009,12,0.039560315,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-12-31",2009,12,0.798269767,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-05",2009,2,0.015809841,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-06",2009,2,0.015809841,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-13",2009,2,0.047257976,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-14",2009,2,1.878248986,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-17",2009,2,0.005508068,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Tamil Nadu","Karur","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
