"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jammu & Kashmir","Kathua","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-03",2009,4,0.208426628,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-04",2009,4,0.004555436,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-05",2009,4,0.000501026,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-10",2009,4,0.011551718,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-11",2009,4,0.005775859,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-14",2009,4,0.017327577,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-18",2009,4,0.637906206,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-19",2009,4,8.261733289,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-20",2009,4,0.010602071,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-21",2009,4,0.088311648,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-22",2009,4,0.009129881,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-23",2009,4,14.36477678,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-24",2009,4,2.33697748,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-26",2009,4,7.670809629,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-27",2009,4,1.706387302,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-28",2009,4,3.6556478,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-29",2009,4,0.029716416,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-01",2009,8,15.02981639,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-02",2009,8,3.370905431,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-03",2009,8,0.038253408,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-07",2009,8,1.662979686,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-08",2009,8,12.45876725,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-09",2009,8,5.402335281,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-10",2009,8,2.330190132,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-12",2009,8,3.476552681,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-13",2009,8,2.500871707,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-14",2009,8,3.224285647,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-16",2009,8,45.86616503,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-17",2009,8,0.371617808,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-18",2009,8,34.62444494,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-19",2009,8,32.72088365,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-20",2009,8,39.09169816,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-21",2009,8,26.15523178,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-22",2009,8,25.98930373,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-11",2009,8,41.25013986,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-23",2009,8,2.783825993,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-24",2009,8,0.239511603,"IMD GRID MODEL"
"Jammu & Kashmir","Kathua","2009-08-25",2009,8,15.88849871,"IMD GRID MODEL"
