"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Gujarat","Kheda","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-01",2009,8,4.847447597,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-02",2009,8,3.908892393,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-03",2009,8,0.05137554,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-04",2009,8,1.142496077,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-05",2009,8,3.132337046,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-06",2009,8,15.91887041,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-07",2009,8,6.298194256,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-08",2009,8,46.40469479,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-09",2009,8,4.355423365,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-10",2009,8,1.012482009,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-11",2009,8,4.363369811,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-12",2009,8,5.062226849,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-13",2009,8,28.70397178,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-14",2009,8,6.912992152,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-15",2009,8,0.132713653,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-16",2009,8,16.8277609,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-17",2009,8,30.19032147,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-18",2009,8,8.624892412,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-19",2009,8,11.59825721,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-20",2009,8,11.51092516,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-21",2009,8,26.27452211,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-22",2009,8,10.60778902,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-23",2009,8,7.439999093,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-24",2009,8,10.32032319,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-25",2009,8,1.818785297,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-26",2009,8,0.447212893,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-28",2009,8,0.429016981,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-30",2009,8,9.08e-05,"IMD GRID MODEL"
"Gujarat","Kheda","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-10",2009,12,0.008009871,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-11",2009,12,6.071010923,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-12",2009,12,0.088530919,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Kheda","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
