"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Bihar","Kishanganj","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-18",2009,4,0.099713613,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-19",2009,4,0.011355679,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-20",2009,4,0.052862413,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-21",2009,4,0.022464486,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-24",2009,4,0.011355679,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-25",2009,4,13.04298909,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-27",2009,4,0.012148919,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-28",2009,4,0.022499531,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-29",2009,4,0.353255544,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-04-30",2009,4,1.799452016,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-01",2009,8,11.41913101,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-02",2009,8,5.84361721,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-03",2009,8,93.65502536,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-04",2009,8,32.1902985,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-05",2009,8,2.416850708,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-06",2009,8,3.819023928,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-07",2009,8,1.51577196,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-08",2009,8,0.601110375,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-09",2009,8,4.197100828,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-10",2009,8,0.236606134,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-13",2009,8,1.106322957,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-14",2009,8,0.294877513,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-15",2009,8,0.850477783,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-16",2009,8,0.409638588,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-17",2009,8,0.013721322,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-18",2009,8,3.457050256,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-19",2009,8,7.694251699,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-20",2009,8,13.3159425,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-21",2009,8,0.903912126,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-22",2009,8,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-23",2009,8,10.06524779,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-24",2009,8,53.07841219,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-25",2009,8,28.99821469,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-26",2009,8,33.26088531,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-27",2009,8,66.65532884,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-28",2009,8,41.02925875,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-29",2009,8,7.058963202,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-30",2009,8,1.644101465,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-08-31",2009,8,1.666179861,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Bihar","Kishanganj","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
