"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Jharkhand","Koderma","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-01",2009,8,0.100823941,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-02",2009,8,5.70681505,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-07",2009,8,1.816149256,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-08",2009,8,4.176379584,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-09",2009,8,3.105619223,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-10",2009,8,0.649465226,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-11",2009,8,0.093029631,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-12",2009,8,0.0,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-13",2009,8,5.78521773,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-18",2009,8,31.9729475,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-19",2009,8,8.250715659,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-20",2009,8,4.554751002,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-21",2009,8,4.554092009,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-22",2009,8,9.612830508,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-23",2009,8,3.97498563,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-24",2009,8,0.157157199,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-29",2009,8,0.070711712,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-30",2009,8,0.034886894,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-31",2009,8,0.036524469,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-03",2009,8,2.331160557,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-04",2009,8,1.190515358,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-05",2009,8,1.407077798,"IMD GRID MODEL"
"Jharkhand","Koderma","2009-08-06",2009,8,18.91892106,"IMD GRID MODEL"
