"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Nagaland","Kohima","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-04",2009,4,0.030456302,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-19",2009,4,1.851542594,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-21",2009,4,0.092708036,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-25",2009,4,2.456513537,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-26",2009,4,11.80076411,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-27",2009,4,0.155281799,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-28",2009,4,3.770504175,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-29",2009,4,6.826525951,"IMD GRID MODEL"
"Nagaland","Kohima","2009-04-30",2009,4,9.686622287,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-01",2009,8,2.557154529,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-02",2009,8,1.089555361,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-03",2009,8,0.389560377,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-04",2009,8,3.454866045,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-05",2009,8,4.098622751,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-06",2009,8,36.75714914,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-07",2009,8,28.66212477,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-08",2009,8,42.46110047,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-09",2009,8,0.799490379,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-10",2009,8,2.077168061,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-11",2009,8,2.318354126,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-12",2009,8,9.548580312,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-13",2009,8,3.829450573,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-14",2009,8,5.513496519,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-15",2009,8,1.273763462,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-16",2009,8,14.01510807,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-17",2009,8,5.736558854,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-19",2009,8,1.098582774,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-20",2009,8,0.096676678,"IMD GRID MODEL"
"Nagaland","Kohima","2009-08-21",2009,8,19.90117987,"IMD GRID MODEL"
